sbspcsn,Order,familis,long,lat,SITECODE,SITENAME,RELEASE_DA,MS,SITETYPE,INSPIRE_ID,PER.x,Code_18,Remark,Area_Ha,ID,GRID_CODE,LABEL1,LABEL2,LABEL3,RGB,hex,PER.y,elevation,hilda_transition,hilda_2018,hilda_1998
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.7595,35.1882,GR4330005,"OROS IDI (VORIZIA, GERANOI, KALI MADARA)",2021/12/14,GR,B,,ะ. สัวิวำ,"324",,415.494055325059,EU_667224,29,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Transitional woodland-shrub,166-242-000,#A6F200,ะ. สัวิวำ,986.906066894531,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.1404,35.5852,,,,,,,,"323",,1542.78973991518,EU_662543,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,266.420379638672,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,23.934,35.4748,GR4340006,LIMNI AGIAS โ€“ PLATANIAS โ€“ REMA KAI EKVOLI KERITI โ€“ KOILADA FASA,2021/12/14,GR,B,,ะ. สัวิวำ,"243",,109.983990559971,EU_645641,21,Agricultural areas,Heterogeneous agricultural areas,"Land principally occupied by agriculture, with significant areas of natural vegetation",230-204-077,#E6CC4D,ะ. สัวิวำ,35.6263122558594,23,33,22
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0545,35.2884,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"332",,3186.0592884301,EU_672274,31,Forest and semi natural areas,Open spaces with little or no vegetation,Bare rocks,204-204-204,#CCCCCC,ะ. สัวิวำ,2008.04443359375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0844,35.2422,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"321",,13167.4076025997,EU_658510,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,864.060302734375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.0389,35.3679,,,,,,,,"323",,362.742380969999,EU_662519,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,19.8370189666748,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.1585,35.3319,,,,,,,,"122",,71.2376393199068,EU_633219,4,Artificial surfaces,"Industrial, commercial and transport units",Road and rail networks and associated land,204-000-000,#CC0000,ะ. สัวิวำ,19.7875728607178,11,11,11
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,25.7225,35.1166,,,,,,,,"223",,552.704425515005,EU_637430,17,Agricultural areas,Permanent crops,Olive groves,230-166-000,#E6A600,ะ. สัวิวำ,25.8499813079834,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0844,35.2422,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"321",,13167.4076025997,EU_658510,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,864.060302734375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.6262,35.1307,,,,,,,,"323",,529.370420030103,EU_662119,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,415.070861816406,33,33,33
