assessmentId,scientificName,internalTaxonId,doi
521135,Cryptocanthon rayonensis,137183,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T137183A521135.en
521163,Demarziella storeyi,137185,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137185A521163.en
521177,Onthophagus pugionatus,137186,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137186A521177.en
521191,Canthidium viride,137187,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137187A521191.en
521233,Copris inhalatus,137191,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137191A521233.en
521275,Onthophagus fuscivestis,137194,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137194A521275.en
521289,Canthon simulans,137195,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137195A521289.en
521331,Heliocopris japetus,137198,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137198A521331.en
521373,Onthophagus cavia,137201,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137201A521373.en
521387,Onitis mniszechi,137202,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137202A521387.en
521415,Canthon coloratus,137205,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137205A521415.en
521465,Sauvagesinella palustris,137209,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137209A521465.en
521569,Demarziella eungella,137213,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137213A521569.en
521583,Bdelyrus paraensis,137214,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137214A521583.en
521625,Mimonthophagus limbibasis,137217,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137217A521625.en
521689,Canthidium erythropterum,137222,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137222A521689.en
521753,Ontherus grandis,137227,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137227A521753.en
521956,Dichotomius dahli,137236,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137236A521956.en
522020,Canthidium angulicolle,137241,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137241A522020.en
522034,Temnoplectron cooki,137242,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137242A522034.en
522104,Kheper laevistriatus,137247,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137247A522104.en
522118,Scarabaeolus damarensis,137248,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137248A522118.en
522132,Phalops bubalus,137249,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137249A522132.en
522146,Sisyphus fasciculatus,137250,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137250A522146.en
522174,Anomiopus howdeni,137252,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137252A522174.en
522188,Onthophagus surdus,137253,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137253A522188.en
522243,Gyronotus mulanjensis,137255,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137255A522243.en
522397,Onthophagus subocelliger,137266,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137266A522397.en
522411,Temnoplectron rotundum,137267,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137267A522411.en
522475,Onthophagus alquirta,137272,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137272A522475.en
522489,Kheper nigroaeneus,137273,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137273A522489.en
522503,Canthon luctuosus,137274,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137274A522503.en
522581,Onthophagus cyaneoniger,137280,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137280A522581.en
522595,Pedaria ovata,137281,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137281A522595.en
522738,Caccobius ferrugineus,137286,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137286A522738.en
522816,Deltorrhinum batesi,137293,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137293A522816.en
522830,Canthidium bokermanni,137294,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137294A522830.en
522844,Onthophagus vilis,137295,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137295A522844.en
522858,Epirinus sulcipennis,137296,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137296A522858.en
522872,Onthophagus parallelicornis,137297,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137297A522872.en
522928,Onthophagus azusae,137301,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137301A522928.en
522942,Dichotomius glaucus,137302,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137302A522942.en
522956,Phanaeus bispinus,137303,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137303A522956.en
