internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
137095,Canthon divinator,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Canthon,divinator,,,,,"(Gistel, 1857)","<p><em>Canthon</em> is a diverse and heterogeneous genus of dung beetles. Currently, the genus is composed of nine subgenera: <em>Boreocanthon</em>, <em>Canthon</em> <em>s.str</em>., <em>Francmonrosia</em>, <em>Glaphyrocanthon</em>, <em>Goniocanthon</em>, <em>Nesocanthon</em>, <em>Peltecanthon</em>, <em>Pseudepilissus</em>, <em>Trichocanthon</em>. Of these, only <em>Boreocanthon</em> and <em>Nesocanthon</em> do not occur in South America. The genus is taxonomically well known.</p>"
137097,Coptodactyla lesnei,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Coptodactyla,lesnei,,,,,"Paulian, 1933","The genus <em>Coptodactyla </em>Burmeister, 1846 occurs in Australia and Papua New Guinea. The Australian fauna comprises 14 species (Reid 2000, Matthews 1974, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012)."
137098,Onitis granulisetosus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Onitis,granulisetosus,,,,,"Ferreira, 1976","<p>The genus&#160;<em><span class=""SpellE"">Onitis </em><span class=""SpellE"">Fabricius</span> 1798 is widespread in the <span class=""SpellE"">Afrotropical, Oriental and Palaearctic regions. It is  divided into 20 species groups of which 13 groups and 130 species are  represented in Africa (<span class=""SpellE"">ScarabNet</span> 2009). This species  is in <em><span class=""SpellE"">Onitis </em>Group 11, which  shows a distributional range in dry to moist <span class=""SpellE"">savanna</span>  regions of southern Africa. The validity of this species  needs to be assessed by comparison with the type material of <em><span class=""SpellE"">Onitis <span class=""SpellE"">aeruginosus</span></em> Klug 1855, which occurs within the  same <span class=""SpellE"">ecoregion.</p>"
137099,Anomiopus bonariensis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Anomiopus,bonariensis,,,,,"(Bruch, 1925)","The genus is exclusively Neotropical and most species occur in South America (Canhedo 2006). The group was reviewed by Canhedo in 2006. However, ten new species were described by the same author in 2004 parallel to the process of publication of taxonomic revision, so that the works that complement the taxonomic revision were published even before the own revision of the genus (Canhedo 2004a, 2004b, 2006). After the publication of these papers the genus now includes 58 species.&#160;Although there is a taxonomic revision with a relatively recent identification key for the genus, it still presents a considerable number of species to describe."
137100,Cryptocanthon nebulinus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Cryptocanthon,nebulinus,,,,,"Howden, 1973","According to Cook (2002),&#160;<em>Cryptocanthon</em>&#160;is a genus with wide occurrence in the New World tropics. They inhabit the litter of wet forests, both lowland rain forests and higher elevation montane and cloud forests, and occur from Brazil to Mexico.&#160;Some species are flightless."
137103,Scarabaeus namibicus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Scarabaeus,namibicus,,,,,"Krajcik, 2006","The genus&#160;<span class=""SpellE""><em>Scarabaeus</em></span>&#160;Linnaeus  1758 ranges across the <span class=""SpellE"">Palaearctic, Oriental and <span class=""SpellE"">Afrotropical</span> regions and is currently considered to comprise  four subgenera (<span class=""SpellE"">Forgie&#160;<em>et al</em>.&#160;2005):&#160;<span class=""SpellE""><em>Scarabaeus</em></span>&#160;Linnaeus  1758,&#160;<span class=""SpellE""><em>Scarabeolus</em></span>&#160;<span class=""SpellE"">Balthasar 1965,&#160;<span class=""SpellE""><em>Kheper</em></span>&#160;<span class=""SpellE"">Janssens 1940,&#160;<span class=""SpellE""><span class=""GramE""><em>Sceliages</em></span>&#160;Westwood  1837, with a representation in the <span class=""SpellE"">Afrotropical</span> region  of 55, 27, 21 and seven species respectively.&#160;This species belongs to the  subgenus&#160;<span class=""SpellE""><em>Kheper</em></span>,&#160;which&#160;is  represented in both the <span class=""SpellE"">Afrotropical and Oriental  regions (<span class=""SpellE"">ScarabNet</span> 2009).&#160;The species selected for  assessment was <span class=""SpellE""><em>Scarabaeus</em></span><em>&#160;<span class=""SpellE"">namibicus</span></em>&#160;<span class=""SpellE"">Krajcik  2006. However, following its selection, <em>S. <span class=""SpellE"">namibicus</span></em>  was formally <span class=""SpellE"">synonymized with&#160;<span class=""SpellE""><em>Scarabeus</em></span><em> <span class=""SpellE"">cupreus</span></em> (<span class=""SpellE"">Castelnau  1840) (<span class=""SpellE"">Deschodt</span>&#160;<em>et al</em>.&#160;2011). Hence the  review of <span class=""SpellE""><em>Scarabaeus</em></span><em>&#160;(<span class=""SpellE"">Kheper)&#160;<span class=""SpellE"">cupreus</span></em>&#160;(<span class=""SpellE"">Castelnau</span>)."
137106,Anisocanthon pygmaeus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Anisocanthon,pygmaeus,,,,,"(Gillet, 1911)","<p>This genus was created to group three species<strong> </strong>(two of them described as <em>Canthon</em> and the third as <em>Deltochilum</em>) and now contains four species described. Currently, its geographic distribution is restricted to the South American continent.&#160;&#160;</p>"
137107,Heliocopris faunus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Heliocopris,faunus,,,,,"Boheman, 1857","The genus&#160;<span class=""SpellE""><em>Heliocopris</em> Hope 1837  is found in the <span class=""SpellE"">Afrotropical</span> and Oriental regions,  with one species shared between the <span class=""SpellE"">Afrotropical and  <span class=""SpellE"">Palaearctic</span> regions, possibly in a <span class=""SpellE"">Saharo-Sindian pattern of distribution. Most of the <span class=""SpellE"">taxa</span> are endemic to the <span class=""SpellE"">Afrotropical region where 44 species are currently  recognized as valid (<span class=""SpellE"">ScarabNet</span>  2009)."
137108,Ateuchus euchalceus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Ateuchus,euchalceus,,,,,"(Balthasar, 1939)","<em>Ateuchus</em> is a diverse genus, with approximately 70 species, distributed from the United States to Argentina and Lesser Antilles. The diversity of the group is also accompanied by various taxonomic and nomenclatural problems. In addition, the need for taxonomic revisions makes the accuracy of identification of most South American species an extremely difficult task. The genus still presents a considerable number of species to describe."
137112,Canthidium luteum,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Canthidium,luteum,,,,,"Balthasar, 1939","<p><em>Canthidium </em>is a diverse genus, distributed from the United States to Argentina. The group also has various taxonomic and nomenclatural problems (Martínez and&#160;Halffter 1986). In addition, to this, the need for taxonomic revisions makes the accuracy in identification of most South American species an extremely difficult task. There are still a considerable number of species to describe in this genus.</p>  <p>&#160;</p>"
