internalTaxonId,scientificName,name,language,main
199542,Procytettix fusiformis,Seychelles Wingless Groundhopper,English,true
199548,Enoplotettix gardineri,Seychelles Palm Grasshopper,English,true
199552,Coptottigia cristata,Seychelles Crested Groundhopper,English,true
199553,Euschmidtia cruciformis,Seychelles Monkey Grasshopper,English,true
199564,Carausius gardineri,Gardiner's stick insect,English,true
199565,Seychellesia longicercata,Seychelles Short-winged Cricket,English,true
199567,Carausius scotti,Scott's stick insect,English,true
201419,Sechelliosoma forcipatum,Seychelles pill-millipede,English,true
201461,Dicrogonatus niger,Silhouette giant mite,English,true
201464,Michaelothyrus seychellensis,Saaristo's giant mite,English,true
201466,Sternothyrus braueri,Brauer's giant mite,English,true
201481,Sechelleptus seychellarum,Seychelles giant millipede,English,true
21249,Syncaris pacifica,California Freshwater Shrimp,English,false
21250,Syncaris pasadenae,Pasadena Freshwater Shrimp,English,false
21250,Syncaris pasadenae,Pasadena Shrimp,English,false
22593,Typhlatya monae,Mona Cave Shrimp,English,true
1001,Amauris comorana,Comoro Friar,English,false
1002,Amauris nossima,Madagascan Friar,English,false
1003,Amauris phoedon,Mauritian Friar,English,false
10208,Hobbseus petilus,Tombigbee Riverlet Crayfish,English,false
10209,Hobbseus valleculus,Choctaw Riverlet Crayfish,English,false
10210,Hobbseus yalobushensis,Yalobusha Riverlet Crayfish,English,false
10205,Hobbseus attenuatus,Pearl Riverlet Crayfish,English,false
10206,Hobbseus cristatus,Crested Riverlet Crayfish,English,false
10207,Hobbseus orconectoides,Oktibbeha Riverlet Crayfish,English,false
10345,Hygrotus artus,Mono Lake Diving Beetle,English,false
10637,Hypena laysanensis,Laysan Dropseed Noctuid Moth,English,true
10639,Hypena plagiota,Lovegrass Noctuid Moth,English,true
10640,Hypena senicula,Kaholuamano Noctuid Moth,English,true
10641,Hypena newelli,Hilo Noctuid Moth,English,true
10713,Euphydryas maturna,Scarce Fritillary,English,true
10781,Idea electra,Electra's Tree-nymph,English,false
10782,Idea iasonia,Ceylon Tree-nymph,English,false
10783,Idea malabarica,Malabar Tree-nymph,English,false
10784,Idea tambusisiana,Bedford-russell's Tree-nymph,English,false
10784,Idea tambusisiana,Sulawesi Tree Nymph,English,false
10785,Ideopsis hewitsonii,Hewitson's Small Tree-nymph,English,false
10786,Ideopsis klassika,Seram Small Tree-nymph,English,false
10791,Idiostatus middlekaufi,Middlekauf's Shieldback Katydid,English,false
10843,Iolaus lulua,White Spotted Sapphire,English,true
1147,Ammopelmatus kelsoensis,Kelso Jerusalem Cricket,English,true
1148,Ammopelmatus muwu,Port Conception Jerusalem Cricket,English,false
11689,Leptogomphus yayeyamensis,Himehoso-sanae,Japanese,true
1169,Amphipteryx agrioides,Montane Relict Damsel,English,false
11690,Leptogryllus deceptor,Oahu Deceptor Bush Cricket,English,false
11919,Levuana irridescens,Levuana Moth,English,true
11928,Libellula angelina,Bekko Tombo,Japanese,false
11975,Limnocythere porphyretica,Seed Shrimp,English,false
11989,Linderiella occidentalis,California Linderiella,English,false
12120,Lirceus culveri,Rye Cove Cave Isopod,English,false
12121,Lirceus usdagalun,Lee County Cave Isopod,English,false
12406,Luehdorfia japonica,Japanese Luehdorfia,English,false
12433,Lycaena dispar,Large Copper,English,true
12435,Lycaena hermes,Hermes Copper,English,false
12438,Lycosa ericeticola,Rosemary Wolf Spider,English,false
12586,Macrobaenetes kelsoensis,Kelso Giant Sand Treader Cricket,English,false
12587,Macrobaenetes valgum,Coachelia Giant Sand Treader Cricket,English,false
12601,Macromia kubokaiya,Okinawa-koyama-tombo,Japanese,true
12602,Macromia urania,Club-tailed Cruiser,English,false
12659,Phengaris arion,Large Blue,English,false
12660,Phengaris arionides,Greater Large Blue,English,false
12662,Phengaris nausithous,Dusky Large Blue,English,false
12664,Phengaris teleius,Scarce Large Blue,English,false
12690,Magicicada cassini,Cassini Periodical Cicada,English,false
12691,Magicicada septendecim,Decim Periodical Cicada,English,false
12692,Magicicada septendecula,Decula Periodical Cicada,English,true
1286,Anetia briarea,Lesser False Fritillary,English,false
1287,Anetia cubana,Salvin's Anetia,English,false
1288,Anetia jaegeri,Jaeger's Anetia,English,false
1289,Anetia pantheratus,False Fritillary,English,false
1290,Aneuretus simoni,Sri Lankan Relict Ant,English,false
12921,Platystigma pronoti,Atlantic Helicopter,English,true
13255,Meta dolloff,Dolloff Cave Spider,English,false
13291,Mexistenasellus parzefalli,Parzefall's Stenasellid,English,false
13292,Mexistenasellus wilkensi,Wilken's Stenasellid,English,false
133984,Geothelphusa wangi,Wang's Crab,English,false
133989,Parathelphusa reticulata,Swamp Forest Crab,English,false
134004,Geothelphusa tawu,Wu Ze Large Crab,English,false
134086,Geothelphusa miyazakii,Miyazaki's Crab,English,false
134027,Geothelphusa lanyu,Orchid Island Crab,English,false
134095,Geothelphusa tsayae,She Crab,English,false
134111,Geothelphusa taroko,Taroko Crab,English,false
134185,Geothelphusa pingtung,Pingtung Crab,English,false
134196,Pseudothelphusa dugesi,Cangrejito barranqueño,Spanish; Castilian,true
134198,Geothelphusa ancylophallus,Yuen Chak Thick Crab,English,false
134243,Geothelphusa takuan,Ze Concept Of Crab,English,false
134384,Geothelphusa eucrinodonta,Ze Significant Tooth Crab,English,false
134419,Geothelphusa ilan,To Lanze Crab,English,false
134424,Geothelphusa tali,Tali Crab,English,false
134469,Geothelphusa nanhsi,Nan Xize Crab,English,false
134501,Geothelphusa cinerea,Gray-taek Crab,English,false
134524,Geothelphusa lutao,Green Crab,English,false
134529,Geothelphusa olea,Yellow-green Crab,English,false
134659,Candidiopotamon rathbunae,Rumsfeld Stream Crab,English,false
134677,Geothelphusa chiui,Qiu Shi Ze Crab,English,false
134679,Geothelphusa bicolor,Two-color Crab,English,false
134684,Geothelphusa dolichopodes,Ze Great Crab,English,false
134730,Geothelphusa hirsuta,Mao Zedong More Than Crab,English,false
134751,Geothelphusa nanao,South Australia Crab,English,false
134793,Geothelphusa wutai,Wutai Crab,English,false
134815,Geothelphusa yangminshan,Yangmingshan Crab,English,false
134894,Geothelphusa candidiensis,Sun Moon Lake Ze Crab,English,false
134898,Geothelphusa monticola,Chak Ko Shan Crab,English,false
134920,Geothelphusa albogilva,Huang Ze Gray Crab,English,false
134924,Geothelphusa caesia,Blue-grey Ze Crab,English,false
134929,Irmengardia johnsoni,Johnson's Freshwater Crab,English,false
135002,Nanhaipotamon formosanum,Taiwan's South China Sea River Crab,English,false
135093,Somanniathelphusa taiwanensis,Taiwan Waist Crab,English,false
135028,Potamonautes anchietae,Anchieta's River Crab,English,false
135034,Geothelphusa ferruginea,Rust Colored Crab,English,false
135107,Thaiphusa sirikit,Regal Crab,Thai,false
135116,Geothelphusa gracilipes,Fine Ashisawa Crab,English,false
135118,Geothelphusa eurysoma,Wide-taek Crab,English,false
135295,Bombus franklini,Franklin's Bumble Bee,English,true
13891,Mortonagrion hirosei,Four-spot Midget,English,true
14483,Neduba extincta,Antioch Dunes Shieldback Katydid,English,true
14498,Nemapalpus nearcticus,Sugarfoot Moth Fly,English,false
14529,Neoleptoneta myopica,Tooth Cave Spider,English,false
14538,Neonemobius eurynotus,Bay Area Ground Cricket,English,true
14753,Newnhamia fuscata,Seed Shrimp,English,false
14754,Newnhamia insolita,Seed Shrimp,English,false
14760,Nicrophorus americanus,American Burying Beetle,English,false
14849,Nothomyrmecia macrops,Australian Ant,English,true
15129,Oecanthus laricis,Laricis Tree Cricket,English,false
15335,Onychogomphus assimilis,Dark Pincertail  ,English,false
15336,Onychogomphus macrodon,Levant Pincertail,English,true
153608,Engaeus yabbimunna,Burnie Burrowing Crayfish,English,false
153612,Ombrastacoides parvicaudatus,Short-tailed Rain Crayfish,English,true
153617,Samastacus spinifrons,River Crayfish,English,false
153617,Samastacus spinifrons,River Crayfish From The South,English,false
153619,Cherax dispar,Slender Yabby,English,false
153628,Cambarellus texanus,Brazos Dwarf Crayfish,English,false
153632,Euastacus kershawi,Gippsland Spiny Crayfish,English,false
153632,Euastacus kershawi,Spinybacks,English,false
153634,Cherax cainii,Smooth Marron,English,false
153635,Cambarellus ninae,Aransas Dwarf Crawfish,English,false
153642,Cherax cuspidatus,Cusped Crayfish,English,false
153648,Pacifastacus leniusculus,Columbia River Signal Crayfish,English,false
153648,Pacifastacus leniusculus,Klamath Signal Crayfish,English,false
153648,Pacifastacus leniusculus,Signal Crayfish,English,true
153670,Engaewa reducta,Dunsborough Burrowing Crayfish,English,false
153671,Engaewa walpolea,Walpole Burrowing Crayfish,English,false
153680,Tenuibranchiurus glypticus,Swamp Crayfish,English,true
153685,Cambaroides similis,Ka-Jae,Abkhazian,false
153690,Cherax preissii,Koonac,English,false
