latD	logD	source
35.1292	25.4779	NHMC
35.5852	24.1404	NHMC
35.3269	24.279	NHMC
35.2422	24.0844	NHMC
35.3893	23.9945	NHMC
35.4406	23.9885	NHMC
35.3093	24.7615	NHMC
35.3497	24.7844	NHMC
35.2884	24.0545	NHMC
35.157	24.4661	NHMC
35.1926	24.7406	NHMC
35.1882	24.7595	NHMC
35.4748	23.934	NHMC
35.3679	25.0389	NHMC
35.3319	25.1585	NHMC
35.1166	25.7225	NHMC
35.1307	24.6262	NHMC
34.9871	24.8657	NHMC
34.9425	24.8286	NHMC
34.9933	24.9458	NHMC
35.1416	24.9107	NHMC
35.1629	24.9313	NHMC
35.5112	23.5692	NHMC
35.2574	24.2527	NHMC
35.2563	24.2787	NHMC
35.3812	23.8104	NHMC
35.3304	23.9046	NHMC
35.3403	25.1228	NHMC
35.0526	25.1417	NHMC
35.1142	25.6765	NHMC
35.0319	25.8407	NHMC
34.9369	24.9414	NHMC
35.2076	24.624	NHMC
35.0138	25.3387	NHMC
35.3411	25.1458	NHMC
35.2823	25.1654	NHMC
35.4006	24.7472	NHMC
35.3345	25.137	NHMC
35.2422	24.7004	NHMC
35.3857	24.8418	NHMC
35.1838	24.3018	NHMC
35.1987	24.7938	NHMC
35.2106	24.7568	NHMC
35.2064	24.833	NHMC
35.1973	24.792	NHMC
35.1939	24.7828	NHMC
35.2869	24.7473	NHMC
35.1964	24.8383	NHMC
35.2464	24.889	NHMC
35.2092	24.793	NHMC
35.3345796730001	23.8327043470001	Bibliography
35.18507	25.7057	Bibliography
35.36257	24.2606	Bibliography
35.2359698010001	24.161942144	Bibliography
35.15328	24.82011	Bibliography
35.326770654	24.2799247360001	Bibliography
35.1636859340001	25.648115481	Bibliography
35.1500949730001	25.6464471190001	Bibliography
35.21333	25.52111	Bibliography
35.2272448	25.2496489	Bibliography
35.05304	25.88274	Bibliography
35.288038	23.739099	Bibliography
35.3032	24.1814	NHMC
35.2508	24.1108	NHMC
35.329	24.1986	NHMC
35.2317	24.0824	NHMC
35.2361	24.0947	NHMC
35.294	24.1897	NHMC
35.3828	24.0679	NHMC
35.3136	24.1997	NHMC
35.2972	24.171	NHMC
35.2921	24.1745	NHMC
35.3069	23.9362	NHMC
35.44873	24.19977	Bibliography
35.2361	25.15769	Bibliography
35.30847	25.372257	Bibliography
35.05068	24.87569	Bibliography
35.50201	23.58003	Bibliography
35.01073	26.09738	Bibliography
35.34245	25.15334	Bibliography
35.415776689	23.756232937	Bibliography
35.04828	25.78985	Bibliography
35.29863	25.16028	Bibliography
35.03469	25.94651	Bibliography
35.397514517	23.9433889680001	Bibliography
35.07556	26.04852	Bibliography
35.39843	25.02638	Bibliography
35.28324	25.46055	Bibliography
34.9957	24.75464	Bibliography
35.3094	25.56558	Bibliography
35.5841035650001	24.140488206	Bibliography
34.973569	24.800826	Bibliography
35.2051124760001	24.8411099520001	Bibliography
35.33333	23.9	Bibliography
35.23355	23.68379	Bibliography
35.1887564520001	24.3982502160001	Bibliography
35.36438	24.47116	Bibliography
35.56156	23.75498	Bibliography
35.20422	26.10509	Bibliography
35.5910177330001	24.089854152	Bibliography
35.08887	25.86161	Bibliography
35.04405	25.45532	Bibliography
