subspeciesname	Order	n_locations	n_sites	eoo	natura_eoo	aoo_area	aoo_overlap_area	Potentially_VU	Potentially_EN	Potentially_CR	potential_status
Temnothorax ikarosi	Hymenoptera	1	1	NA	NA	4.0076474825065	4.00764748236101	TRUE	TRUE	TRUE	Potentially_CR
Acanthopetalum furculigerum transitionis	Diplopoda	1	1	NA	NA	4.00439526502965	4.00439526502974	TRUE	TRUE	TRUE	Potentially_CR
Afropselaphus diktianus	Coleoptera	1	1	NA	NA	4.00370526955953	4.00370526956057	TRUE	TRUE	TRUE	Potentially_CR
Eupholidoptera marietheresae	Orthoptera	1	3	0	0	4.00581487983294	4.00581487983253	TRUE	TRUE	TRUE	Potentially_CR
Geostiba diktiana	Coleoptera	1	1	NA	NA	4.00436644829798	4.00436644829886	TRUE	TRUE	TRUE	Potentially_CR
Cephennium arcuatum	Coleoptera	1	3	0	0	12.0013288386939	7.70442283156447	TRUE	TRUE	TRUE	Potentially_CR
Cephennium selenanum	Coleoptera	1	1	NA	NA	3.99921812313572	3.99921812313563	TRUE	TRUE	TRUE	Potentially_CR
Sintula cretaensis	Araneae	1	1	NA	NA	4.00020936265116	4.00020936265136	TRUE	TRUE	TRUE	Potentially_CR
Walckenaeria clavilobus	Araneae	1	1	NA	NA	4.00026746130119	4.00026746130155	TRUE	TRUE	TRUE	Potentially_CR
Dendarus mylonasi	Coleoptera	1	2	NA	NA	3.99939481056106	0	TRUE	TRUE	TRUE	Potentially_CR
Eupholidoptera feri	Orthoptera	1	4	0	0	4.00320147886343	4.00320147886524	TRUE	TRUE	TRUE	Potentially_CR
Myllaena cretica	Coleoptera	1	1	NA	NA	4.00367417993045	3.79531394899017	TRUE	TRUE	TRUE	Potentially_CR
Pseudobium creticum	Coleoptera	1	2	NA	NA	4.004397576253	4.004397576253	TRUE	TRUE	TRUE	Potentially_CR
Cephennium hamulatum	Coleoptera	1	1	NA	NA	4.00376395482682	0	TRUE	TRUE	TRUE	Potentially_CR
Cousya candica	Coleoptera	1	1	NA	NA	4.00475288221415	0	TRUE	TRUE	TRUE	Potentially_CR
Afropselaphus thripticus	Coleoptera	1	1	NA	NA	4.00597870488384	4.00597870488437	TRUE	TRUE	TRUE	Potentially_CR
Amaurobius geminus	Araneae	1	2	NA	NA	4.00670317566407	4.00670317566351	TRUE	TRUE	TRUE	Potentially_CR
Astenus thripticus	Coleoptera	1	2	NA	NA	4.00589350182557	4.00589350182557	TRUE	TRUE	TRUE	Potentially_CR
Cephennium thripticum	Coleoptera	1	2	NA	NA	4.00686427501355	4.00686427501423	TRUE	TRUE	TRUE	Potentially_CR
Geostiba thryptisensis	Coleoptera	1	6	0.951424615102295	0.951424615102295	4.00670803830723	4.00670803830706	TRUE	TRUE	TRUE	Potentially_CR
Leptomastax thryptica	Coleoptera	1	1	NA	NA	4.00605786083861	3.98053807242811	TRUE	TRUE	TRUE	Potentially_CR
Myrmecopora thriptica	Coleoptera	1	3	0.209214302365788	0.209214302365788	4.00659747164357	4.0065974716445	TRUE	TRUE	TRUE	Potentially_CR
Sunius thripticus	Coleoptera	1	3	1.57542633153169	1.22367864949815	8.01258904730193	4.006294523651	TRUE	TRUE	TRUE	Potentially_CR
Tectusa thriptica	Coleoptera	1	1	NA	NA	4.00667591517845	4.00667591517845	TRUE	TRUE	TRUE	Potentially_CR
Cephennium curvatum	Coleoptera	1	1	NA	NA	4.00308879723591	0	TRUE	TRUE	TRUE	Potentially_CR
Tentyria sporadica zimmermanni	Coleoptera	1	1	NA	NA	4.0135913697015	2.43545006781286	TRUE	TRUE	TRUE	Potentially_CR
Cephennium fortespinosum	Coleoptera	1	1	NA	NA	4.0047194489979	0	TRUE	TRUE	TRUE	Potentially_CR
Euconnus zakrius	Coleoptera	1	2	NA	NA	4.00487230303053	0	TRUE	TRUE	TRUE	Potentially_CR
