internalTaxonId,scientificName,name,language,main
173805983,Enallagma cyathigerum,Common Bluet,English,false
173805983,Enallagma cyathigerum,Agrion Enallagma,Spanish; Castilian,false
173805983,Enallagma cyathigerum,Agrion Porte-Coupe,French,false
173805983,Enallagma cyathigerum,Azzurrina portacalice,Italian,false
173805983,Enallagma cyathigerum,Bleščeči zmotec,Slovenian,false
173805983,Enallagma cyathigerum,Gemeine Becherjungfer,German,false
173805983,Enallagma cyathigerum,L’agrion Porte-coupe,French,false
173805983,Enallagma cyathigerum,Patge de copa,Catalan; Valencian,false
173805983,Enallagma cyathigerum,Plavetna devica,Serbian,false
173805983,Enallagma cyathigerum,Plavetna kosjenka,Croatian,false
173805983,Enallagma cyathigerum,Sjöflickslända,Swedish,false
173805983,Enallagma cyathigerum,Tigrasti plavac,Bosnian,false
173805983,Enallagma cyathigerum,Watersnuffel,Dutch; Flemish,false
173805983,Enallagma cyathigerum,Common Blue Damselfly,English,true
165512,Sympetrum depressiusculum,Cardinale padano,Italian,false
165512,Sympetrum depressiusculum,Hedhësi me njolla,Albanian,false
165512,Sympetrum depressiusculum,Kempense heidelibel,Dutch; Flemish,false
165512,Sympetrum depressiusculum,Mali crnonogi poljski konjic,Serbian,false
165512,Sympetrum depressiusculum,Močvarni strijelac,Croatian,false
165512,Sympetrum depressiusculum,Stasiti kamenjak,Slovenian,false
165512,Sympetrum depressiusculum,Sumpf-Heidelibelle,German,false
165512,Sympetrum depressiusculum,Sympétrum Déprimé,French,false
165512,Sympetrum depressiusculum,Spotted Darter,English,true
169975,Palinurus elephas,European Spiny Lobster,English,false
169975,Palinurus elephas,Common Spiny Lobster,English,true
174425,Maniola halicarnassus,Thomson's Meadow Brown,English,false
174425,Maniola halicarnassus,Halikarnas Esmeri ,Turkish,false
174425,Maniola halicarnassus,Halicarnas Brown,English,true
196248,Hasarius adansoni,adanson’s house jumper,English,false
196248,Hasarius adansoni,Adanson's House Jumper,English,true
10713,Euphydryas maturna,Scarce Fritillary,English,true
12433,Lycaena dispar,Large Copper,English,true
12659,Phengaris arion,Large Blue,English,false
153648,Pacifastacus leniusculus,Columbia River Signal Crayfish,English,false
153648,Pacifastacus leniusculus,Klamath Signal Crayfish,English,false
153648,Pacifastacus leniusculus,Signal Crayfish,English,true
157800,Ampedus cardinalis,Cardinal Click Beetle,English,true
160251,Pontia daplidice,Blanquiverdosa,Spanish; Castilian,false
160251,Pontia daplidice,Grönfläcking Kälfjäril,Swedish,false
160251,Pontia daplidice,La Marbré-de-vert,French,false
160251,Pontia daplidice,La Piéride De Réséda,French,false
160251,Pontia daplidice,Resedafalter,German,false
160251,Pontia daplidice,Bath White,English,true
160360,Hipparchia statilinus,Eisenfarbiger,German,false
160360,Hipparchia statilinus,Le faune,French,false
160360,Hipparchia statilinus,Samtfalter,German,false
160360,Hipparchia statilinus,Satiro moreno,Spanish; Castilian,false
160360,Hipparchia statilinus,Vitbandad Gräsfjäril,Swedish,false
160360,Hipparchia statilinus,Tree Grayling,English,true
160590,Erebia cassioides,Common Brassy Ringlet,English,true
165463,Anax immaculifrons,Beekkeizerlibel,Dutch; Flemish,false
165463,Anax immaculifrons,ćelavi carević,Serbian,false
165463,Anax immaculifrons,Indische Königslibelle,German,false
165463,Anax immaculifrons,Magnificent Emperor,English,true
169949,Scyllarus arctus,Small European Locust Lobster ,English,true
169983,Scyllarides latus,Cigarra,Spanish; Castilian,false
169983,Scyllarides latus,Grandecigale,French,false
169983,Scyllarides latus,Mediterranean Slipper Lobster,English,true
170056,Scyllarus pygmaeus,Pygmy Locust Lobster,English,true
171925,Archon apollinus,False Apollo,English,true
173209,Hipparchia fagi,Woodland Grayling,English,true
173211,Lysandra coridon,Chalkhill Blue,English,false
173233,Hipparchia volgensis,Delattin’s Grayling,English,true
173234,Erebia rhodopensis,Nicholl’s Ringlet,English,true
173246,Erebia oeme,Bright-eyed Ringlet,English,true
173281,Coenonympha orientalis,Balkan Heath,English,true
173284,Erebia epiphron,Mountain Ringlet,English,true
173295,Polyommatus nephohiptamenos,Higgins’s Anomalous Blue,English,false
173296,Coenonympha rhodopensis,Eastern Large Heath,English,true
173302,Pseudochazara orestes,Dils’ Grayling,English,true
173311,Polyommatus aroaniensis,Grecian Anomalous Blue,English,false
173313,Pieris balcana,Balkan Green-veined White,English,false
173314,Erebia melas,Black Ringlet,English,true
18366,Proserpinus proserpina,Willowherb Hawkmoth,English,false
19743,Rosalia alpina,Rosalia Longicorn,English,false
2191,Astacus astacus,Broad-clawed Crayfish,English,false
2191,Astacus astacus,Broad-fingered Crayfish,English,false
2191,Astacus astacus,European Crayfish,English,false
2191,Astacus astacus,Red-clawed Crayfish,English,false
2191,Astacus astacus,Red-footed Crayfish,English,false
2191,Astacus astacus,River Crayfish,English,false
2191,Astacus astacus,Écrevisse á Pattes Rouges,French,false
2191,Astacus astacus,Écrevisse Fluviatile,French,false
2191,Astacus astacus,Écrevisse Noble,French,false
2191,Astacus astacus,Gambero dai Piedi Rossi,Italian,false
2191,Astacus astacus,Noble Crayfish,English,true
3845,Carabus intricatus,Blue Ground Beetle,English,true
39486,Lycaena ottomana,Grecian Copper,English,false
165460,Lindenia tetraphylla,Bladetail,English,false
165460,Lindenia tetraphylla,jezerski regoč,Croatian,false
165460,Lindenia tetraphylla,Lindenia,Italian,false
165460,Lindenia tetraphylla,Seedrache,German,false
165460,Lindenia tetraphylla,Vaandeldrager,Dutch; Flemish,false
165460,Lindenia tetraphylla,velika peščenka,Slovenian,false
