internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
170563,Obscurella nouleti,"Cochlostoma nouleti (Dupuy, 1851)",Cochlostoma,nouleti,"(Dupuy, 1851)",,
170563,Obscurella nouleti,"Pomatias nouleti Dupuy, 1851",Pomatias,nouleti,"Dupuy, 1851",,
170565,Obscurella oscitans,"Cochlostoma oscitans Gofas, 1989",Cochlostoma,oscitans,"Gofas, 1989",,
122558299,Obscurella obscura,"Pomatias obscurus (Draparnaud, 1805)",Pomatias,obscurus,"(Draparnaud, 1805)",,
122558299,Obscurella obscura,"Cyclostoma obscurum Draparnaud, 1805",Cyclostoma,obscurum,"Draparnaud, 1805",,
13416997,Phoenix canariensis,Phoenix dactylifera L. var. jubae Webb & Berthel.,Phoenix,dactylifera,L.,variety,Webb & Berthel.
13416997,Phoenix canariensis,Phoenix canariensis Chabaud,Phoenix,canariensis,Chabaud,,
85602335,Clausilia brembina,"Clausilia villae Schmidt, 1856",Clausilia,villae,"Schmidt, 1856",,
85602335,Clausilia brembina,"Clausilia whateliana ssp. klemmi Nordsieck, 1966",Clausilia,whateliana,,subspecies,"Nordsieck, 1966"
85602335,Clausilia brembina,"Clausilia whateliana Strobel, 1850 ssp. brembina Strobel, 1850",Clausilia,whateliana,"Strobel, 1850",subspecies,"Strobel, 1850"
85602335,Clausilia brembina,"Clausilia whateliana Strobel, 1850 ssp. umbrosella Nordsieck, 1993     ",Clausilia,whateliana,"Strobel, 1850",subspecies,"Nordsieck, 1993     "
85602335,Clausilia brembina,"Clausilia umbrosa (Käufel, 1928) ssp. gardonensis Nardi & Nordsieck, 2013",Clausilia,umbrosa,"(Käufel, 1928)",subspecies,"Nardi & Nordsieck, 2013"
85602335,Clausilia brembina,"Clausilia whateliana Strobel, 1850 ssp. umbrosa Kaufel, 1928",Clausilia,whateliana,"Strobel, 1850",subspecies,"Kaufel, 1928"
171189,Clausilia whateliana,"Clausilia gracilis Strobel, 1850",Clausilia,gracilis,"Strobel, 1850",,
171189,Clausilia whateliana,"Clausilia whateliana Strobel, 1850 ssp. exoptata Schmidt, 1856",Clausilia,whateliana,"Strobel, 1850",subspecies,"Schmidt, 1856"
171773,Cochlodina bidens,"Cochlodina incisa (Küster, 1876)",Cochlodina,incisa,"(Küster, 1876)",,
171773,Cochlodina bidens,"Clausilia incisa Küster, 1876",Clausilia,incisa,"Küster, 1876",,
171773,Cochlodina bidens,"Clausilia ligurica (Pini, 1884)",Clausilia,ligurica,"(Pini, 1884)",,
171773,Cochlodina bidens,"Clausilia targionii (De Stefani, 1883)",Clausilia,targionii,"(De Stefani, 1883)",,
40094,Oxychilus oglasicola,"Alzonula oglasicola Giusti, 1968",Alzonula,oglasicola,"Giusti, 1968",,
123670775,Halobrecta princeps,"Homalota princeps Sharp, 1869",Homalota,princeps,"Sharp, 1869",,
123672536,Brachyptera putata,"Nemoura putata Newman, 1838",Nemoura,putata,"Newman, 1838",,
123673542,Niphargellus glenniei,"Niphargus glenniei Spooner, 1952",Niphargus,glenniei,"Spooner, 1952",,
123717204,Parapelecopsis mediocris,"Brachycentrum mediocre Kulczyński, 1899",Brachycentrum,mediocre,"Kulczyński, 1899",,
