assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
45823371,157798,Stenopterus creticus,GR,Greece,Extant,Native,"[""Resident""]",
45826874,157771,Trichoferus bergeri,GR,Greece,Extant,Native,"[""Resident""]",
47350001,47262019,Ampedus cretensis,GR,Greece,Extant,Native,"[""Resident""]",
47350709,47262622,Ampedus vignai,GR,Greece,Extant,Native,"[""Resident""]",
47353318,47263254,Elater asmodaius,GR,Greece,Extant,Native,"[""Resident""]",
47353453,47265114,Podeonius subcyaneus,GR,Greece,Extant,Native,"[""Resident""]",
47708524,17182027,Poecilimon ikariensis,GR,Greece,Extant,Native,"[""Resident""]",Yes
47708697,17181950,Poecilimon deplanatus,GR,Greece,Extant,Native,"[""Resident""]",Yes
47726171,17182043,Poecilimon klausgerhardi,GR,Greece,Extant,Native,"[""Resident""]",Yes
47995800,47981998,Sphecodes creticus,GR,Greece,Extant,Native,"[""Resident""]",
48031475,47943578,Agoliinus pittinoi,GR,Greece,Extant,Native,"[""Resident""]",
48031890,47944402,Nobius rhodiensis,GR,Greece,Extant,Native,"[""Resident""]",
48032052,47945259,Paracoptochirus kozanensis,GR,Greece,Extant,Native,"[""Resident""]",
48032062,47945322,Paracoptochirus vignai,GR,Greece,Extant,Native,"[""Resident""]",
48032062,47945322,Paracoptochirus vignai,MK,North Macedonia,Presence Uncertain,Native,"[""Resident""]",
50137978,19199706,Megachile cressa,GR,Greece,Extant,Native,"[""Resident""]",
50142482,19198908,Megachile semicircularis,GR,Greece,Extant,Native,"[""Resident""]",
53713070,173274,Kretania psylorita,GR,Greece,Extant,Native,"[""Resident""]",
53714375,173287,Hipparchia cretica,GR,Greece,Extant,Native,"[""Resident""]",
64557835,173214,Coenonympha thyrsis,GR,Greece,Extant,Native,"[""Resident""]",
64563270,173305,Hipparchia christenseni,GR,Greece,Extant,Native,"[""Resident""]",
64809060,173252,Maniola chia,GR,Greece,Extant,Native,"[""Resident""]",
64821523,173225,Pseudochazara graeca,MK,North Macedonia,Presence Uncertain,Native,"[""Resident""]",
64821523,173225,Pseudochazara graeca,GR,Greece,Extant,Native,"[""Resident""]",
64823983,173219,Zerynthia cretica,GR,Greece,Extant,Native,"[""Resident""]",
