assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
21153678,19198606,Hoplitis fabrei,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,fabrei,,,,"van der Zanden, 1987",Data Deficient,,3.1,Unknown,Global & Europe
21153856,19199563,Hoplitis graeca,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,graeca,,,,"(Tkalců, 2000)",Data Deficient,,3.1,Unknown,Global & Europe
21154657,19198429,Hoplitis parnesica,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,parnesica,,,,"(Mavromoustakis, 1958)",Data Deficient,,3.1,Unknown,Global & Europe
21154906,19199889,Osmia ariadne,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,ariadne,,,,"Peters, 1978",Data Deficient,,3.1,Unknown,Global & Europe
21156032,19199847,Osmia mirhiji,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,mirhiji,,,,"Mavromoustakis, 1957",Data Deficient,,3.1,Unknown,Global & Europe
21156038,19199916,Osmia moreensis,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,moreensis,,,,"van der Zanden, 1984",Data Deficient,,3.1,Unknown,Global & Europe
21461772,19198560,Nomada gruenwaldti,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Nomada,gruenwaldti,,,,"Schwarz, 1979",Data Deficient,,3.1,Unknown,Global & Europe
21462412,19199805,Nomada priesneri,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Nomada,priesneri,,,,"Schwarz, 1965",Least Concern,,3.1,Stable,Global & Europe
21462605,19199755,Nomada standfussi,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Nomada,standfussi,,,,"Schwarz, 2007",Data Deficient,,3.1,Unknown,Global & Europe
42461359,42428291,Atyaephyra strymonensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Atyaephyra,strymonensis,,,,"Christodoulou, Antoniou, Magoulas &amp; Koukouras, 2012",Vulnerable,B1ab(iii),3.1,Unknown,Global
