assessmentId,internalTaxonId,scientificName,type,text,full,value,order
18053580,16084523,Oropodisma willemsei,RedListAssessors,"Willemse, L.P.M., Hochkirch, A., Kati, V., Tzirkalli, E., Papapavlou, K. & Heller, K.-G.","Willemse, L.P.M., Hochkirch, A., Kati, V., Tzirkalli, E., Papapavlou, K. & Heller, K.-G.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Luc Willemse (IUCN SSC Grasshopper Specialist Group)|Klaus-Gerhard Heller (IUCN SSC Grasshopper Specialist Group)|Elli Tzirkalli (Cyprus Butterfly Study Group & University of Ioannina)|Vassiliki Kati|Kelly Papapavlou","13985563,13179435,87583891,63957748,87583955,44830971"
18053580,16084523,Oropodisma willemsei,RedListEvaluators,"Bushell, M., Cálix, M. & Nieto, A.","Bushell, M., Cálix, M. & Nieto, A.","Ana Nieto (IUCN)|Mark Bushell (Bristol Zoo, United Kingdom)|Marta Cálix (IUCN European Red List)","42907552,84986092,212"
18053580,16084523,Oropodisma willemsei,RedListContributors,"Danielczak, A.","Danielczak, A.",Anja Danielczak (Trier University (Greek Orthoptera Assessor)),47462037
18053580,16084523,Oropodisma willemsei,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
18407506,16084420,Oropodisma karavica,RedListAssessors,"Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Willemse, L.P.M., Hochkirch, A., Kati, V., Papapavlou, K., Tzirkalli, E. & Heller, K.-G.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)|Luc Willemse (IUCN SSC Grasshopper Specialist Group)|Klaus-Gerhard Heller (IUCN SSC Grasshopper Specialist Group)|Elli Tzirkalli (Cyprus Butterfly Study Group & University of Ioannina)|Vassiliki Kati|Kelly Papapavlou","13985563,13179435,87583891,87583955,63957748,44830971"
18407506,16084420,Oropodisma karavica,RedListEvaluators,"Bushell, M., Cálix, M. & Nieto, A.","Bushell, M., Cálix, M. & Nieto, A.","Ana Nieto (IUCN)|Mark Bushell (Bristol Zoo, United Kingdom)|Marta Cálix (IUCN European Red List)","42907552,84986092,212"
18407506,16084420,Oropodisma karavica,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
19201320,19198562,Andrena olympica,RedListAssessors,"Radchenko, V.","Radchenko, V.",Vladimir Radchenko (European Red List of Bees),19218574
19201320,19198562,Andrena olympica,RedListEvaluators,"Scheuchl, E., Kemp, J.R. & Nieto, A.","Scheuchl, E., Kemp, J.R. & Nieto, A.",Ana Nieto (IUCN)|James Kemp (IUCN Regional Office for Europe - European Red List)|Erwin Scheuchl,"48994596,43981689,212"
19201795,19198587,Andrena standfussorum,RedListAssessors,"Radchenko, V.","Radchenko, V.",Vladimir Radchenko (European Red List of Bees),19218574
19201795,19198587,Andrena standfussorum,RedListEvaluators,"Scheuchl, E., Kemp, J.R. & Nieto, A.","Scheuchl, E., Kemp, J.R. & Nieto, A.",Ana Nieto (IUCN)|James Kemp (IUCN Regional Office for Europe - European Red List)|Erwin Scheuchl,"48994596,43981689,212"
19201930,19199004,Andrena trikalensis,RedListAssessors,"Roberts, S.","Roberts, S.","Stuart Roberts (Bees, Wasps & Ants Recording Society)",13152896
19201930,19199004,Andrena trikalensis,RedListEvaluators,"Scheuchl, E., Nieto, A. & García, M.","Scheuchl, E., Nieto, A. & García, M.",Ana Nieto (IUCN)|Erwin Scheuchl|Mariana García (IUCN Global Species Programme),"48994596,212,56211724"
19881752,19199804,Hylaeus hellenicus,RedListAssessors,"Dathe, H.H.","Dathe, H.H.",Holger Dathe,48890282
19881752,19199804,Hylaeus hellenicus,RedListEvaluators,"Roberts, S., Nieto, A. & Scott, J.A.","Roberts, S., Nieto, A. & Scott, J.A.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)|Janet Scott (IUCN Red List Unit)","13152896,212,13289665"
19881954,19199635,Hylaeus koenigsmanni,RedListAssessors,"Dathe, H.H.","Dathe, H.H.",Holger Dathe,48890282
19881954,19199635,Hylaeus koenigsmanni,RedListEvaluators,"Roberts, S., Nieto, A. & Scott, J.A.","Roberts, S., Nieto, A. & Scott, J.A.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)|Janet Scott (IUCN Red List Unit)","13152896,212,13289665"
19882034,19199942,Hylaeus milossus,RedListAssessors,"Dathe, H.H.","Dathe, H.H.",Holger Dathe,48890282
19882034,19199942,Hylaeus milossus,RedListEvaluators,"Roberts, S., Nieto, A. & Scott, J.A.","Roberts, S., Nieto, A. & Scott, J.A.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)|Janet Scott (IUCN Red List Unit)","13152896,212,13289665"
21145860,19198984,Epeolus sigillatus,RedListAssessors,"Bogusch, P. & Straka, J.","Bogusch, P. & Straka, J.",Petr Bogusch (Bee expert)|Jakub Straka (Bee expert),"21137321,21137350"
21145860,19198984,Epeolus sigillatus,RedListEvaluators,"Nieto, A. & Roberts, S.","Nieto, A. & Roberts, S.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","212,13152896"
21152247,19199770,Chelostoma hellenicum,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21152247,19199770,Chelostoma hellenicum,RedListEvaluators,"Kemp, J.R., Michez, D. & Nieto, A.","Kemp, J.R., Michez, D. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"43981689,13215558,212"
21152252,19198822,Chelostoma laticaudum,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21152252,19198822,Chelostoma laticaudum,RedListEvaluators,"Kemp, J.R., Michez, D. & Nieto, A.","Kemp, J.R., Michez, D. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"43981689,13215558,212"
21153573,19199179,Hoplitis cretaea,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21153573,19199179,Hoplitis cretaea,RedListEvaluators,"Kemp, J.R., Michez, D. & Nieto, A.","Kemp, J.R., Michez, D. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"43981689,13215558,212"
21153678,19198606,Hoplitis fabrei,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21153678,19198606,Hoplitis fabrei,RedListEvaluators,"Kemp, J.R., Michez, D. & Nieto, A.","Kemp, J.R., Michez, D. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"43981689,13215558,212"
21153856,19199563,Hoplitis graeca,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21153856,19199563,Hoplitis graeca,RedListEvaluators,"Kemp, J.R., Michez, D. & Nieto, A.","Kemp, J.R., Michez, D. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"43981689,13215558,212"
21154657,19198429,Hoplitis parnesica,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21154657,19198429,Hoplitis parnesica,RedListEvaluators,"Kemp, J.R., Michez, D. & Nieto, A.","Kemp, J.R., Michez, D. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"43981689,13215558,212"
21154906,19199889,Osmia ariadne,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21154906,19199889,Osmia ariadne,RedListEvaluators,"Kemp, J.R., Michez, D. & Nieto, A.","Kemp, J.R., Michez, D. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"43981689,13215558,212"
21156032,19199847,Osmia mirhiji,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21156032,19199847,Osmia mirhiji,RedListEvaluators,"Michez, D., Kemp, J.R. & Nieto, A.","Michez, D., Kemp, J.R. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"13215558,43981689,212"
21156038,19199916,Osmia moreensis,RedListAssessors,"Lhomme, P.","Lhomme, P.",Patrick Lhomme,43213056
21156038,19199916,Osmia moreensis,RedListEvaluators,"Michez, D., Kemp, J.R. & Nieto, A.","Michez, D., Kemp, J.R. & Nieto, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|James Kemp (IUCN Regional Office for Europe - European Red List),"13215558,43981689,212"
21461772,19198560,Nomada gruenwaldti,RedListAssessors,"Smit, J.","Smit, J.",Jan Smit (Bee expert),21243066
21461772,19198560,Nomada gruenwaldti,RedListEvaluators,"Nieto, A., Roberts, S. & Scott, J.A.","Nieto, A., Roberts, S. & Scott, J.A.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)|Janet Scott (IUCN Red List Unit)","212,13152896,13289665"
21461772,19198560,Nomada gruenwaldti,RedListContributors,"Schwarz, M.","Schwarz, M.",Maximilian Schwarz,42670688
21462412,19199805,Nomada priesneri,RedListAssessors,"Smit, J.","Smit, J.",Jan Smit (Bee expert),21243066
21462412,19199805,Nomada priesneri,RedListEvaluators,"Roberts, S. & Nieto, A.","Roberts, S. & Nieto, A.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","13152896,212"
21462412,19199805,Nomada priesneri,RedListContributors,"Schwarz, M.","Schwarz, M.",Maximilian Schwarz,42670688
21462605,19199755,Nomada standfussi,RedListAssessors,"Smit, J.","Smit, J.",Jan Smit (Bee expert),21243066
21462605,19199755,Nomada standfussi,RedListEvaluators,"Roberts, S. & Nieto, A.","Roberts, S. & Nieto, A.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","13152896,212"
21462605,19199755,Nomada standfussi,RedListContributors,"Schwarz, M.","Schwarz, M.",Maximilian Schwarz,42670688
42461359,42428291,Atyaephyra strymonensis,RedListAssessors,"De Grave, S.","De Grave, S.",Sammy De Grave (IUCN SSC Crustacean SG / Oxford University Natural History Museum),3129
42461359,42428291,Atyaephyra strymonensis,RedListEvaluators,"Cumberlidge, N. & Smith, K.","Cumberlidge, N. & Smith, K.","Kevin Smith (IUCN)|Neil Cumberlidge (Northern Michigan University, USA)","1055,303"
42461459,42428293,Atyaephyra thyamisensis,RedListAssessors,"De Grave, S.","De Grave, S.",Sammy De Grave (IUCN SSC Crustacean SG / Oxford University Natural History Museum),3129
42461459,42428293,Atyaephyra thyamisensis,RedListEvaluators,"Cumberlidge, N. & Smith, K.","Cumberlidge, N. & Smith, K.","Kevin Smith (IUCN)|Neil Cumberlidge (Northern Michigan University, USA)","1055,303"
42463679,42463645,Nomada cretensis,RedListAssessors,"Smit, J.","Smit, J.",Jan Smit (Bee expert),21243066
42463679,42463645,Nomada cretensis,RedListEvaluators,"Roberts, S., Nieto, A. & Scott, J.A.","Roberts, S., Nieto, A. & Scott, J.A.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)|Janet Scott (IUCN Red List Unit)","13152896,212,13289665"
42463679,42463645,Nomada cretensis,RedListContributors,"Schwarz, M.","Schwarz, M.",Maximilian Schwarz,42670688
43114098,19198726,Andrena grossella,RedListAssessors,"Michez, D., Kemp, J.R., Nieto, A., Patiny, S., Radchenko, V. & Roberts, S.","Michez, D., Kemp, J.R., Nieto, A., Patiny, S., Radchenko, V. & Roberts, S.","Ana Nieto (IUCN)|Stuart Roberts (Bees, Wasps & Ants Recording Society)|Denis Michez (European Bee Specialist)|Sebastien Patiny (European bee expert)|Vladimir Radchenko (European Red List of Bees)|James Kemp (IUCN Regional Office for Europe - European Red List)","13215558,43981689,212,15307927,19218574,13152896"
43114098,19198726,Andrena grossella,RedListEvaluators,"Scheuchl, E. & Scott, J.A.","Scheuchl, E. & Scott, J.A.",Janet Scott (IUCN Red List Unit)|Erwin Scheuchl,"48994596,13289665"
43114098,19198726,Andrena grossella,RedListFacilitators,"","Radchenko, V.",Vladimir Radchenko (European Red List of Bees),19218574
43364385,19199403,Lasioglossum leucomontanum,RedListAssessors,"Kemp, J.R., Michez, D., Nieto, A. & Pauly, A.","Kemp, J.R., Michez, D., Nieto, A. & Pauly, A.",Ana Nieto (IUCN)|Denis Michez (European Bee Specialist)|Alain Pauly (European Bee Red List)|James Kemp (IUCN Regional Office for Europe - European Red List),"43981689,13215558,212,17223187"
43364385,19199403,Lasioglossum leucomontanum,RedListEvaluators,"Roberts, S. & Scott, J.A.","Roberts, S. & Scott, J.A.","Stuart Roberts (Bees, Wasps & Ants Recording Society)|Janet Scott (IUCN Red List Unit)","13152896,13289665"
43365979,19199243,Lasioglossum ariadne,RedListAssessors,"Pauly, A. & Michez, D.","Pauly, A. & Michez, D.",Denis Michez (European Bee Specialist)|Alain Pauly (European Bee Red List),"17223187,13215558"
43365979,19199243,Lasioglossum ariadne,RedListEvaluators,"Roberts, S. & García, M.","Roberts, S. & García, M.","Stuart Roberts (Bees, Wasps & Ants Recording Society)|Mariana García (IUCN Global Species Programme)","13152896,56211724"
43365979,19199243,Lasioglossum ariadne,RedListFacilitators,"","Kemp, J.R.",James Kemp (IUCN Regional Office for Europe - European Red List),43981689
43509253,19199653,Andrena chelma,RedListAssessors,"Roberts, S. & de Meulemeester, T.","Roberts, S. & de Meulemeester, T.","Stuart Roberts (Bees, Wasps & Ants Recording Society)|Thibaut de Meulemeester (Université de Mons)","13152896,46194142"
43509253,19199653,Andrena chelma,RedListEvaluators,"García, M., Scheuchl, E., Nieto, A. & Kemp, J.R.","García, M., Scheuchl, E., Nieto, A. & Kemp, J.R.",Ana Nieto (IUCN)|James Kemp (IUCN Regional Office for Europe - European Red List)|Erwin Scheuchl|Mariana García (IUCN Global Species Programme),"56211724,48994596,212,43981689"
43509688,21138032,Andrena ebmerella,RedListAssessors,"Roberts, S. & de Meulemeester, T.","Roberts, S. & de Meulemeester, T.","Stuart Roberts (Bees, Wasps & Ants Recording Society)|Thibaut de Meulemeester (Université de Mons)","13152896,46194142"
43509688,21138032,Andrena ebmerella,RedListEvaluators,"García, M., Scheuchl, E., Nieto, A. & Kemp, J.R.","García, M., Scheuchl, E., Nieto, A. & Kemp, J.R.",Ana Nieto (IUCN)|James Kemp (IUCN Regional Office for Europe - European Red List)|Erwin Scheuchl|Mariana García (IUCN Global Species Programme),"56211724,48994596,212,43981689"
43509986,19199759,Andrena helenica,RedListAssessors,"Roberts, S. & de Meulemeester, T.","Roberts, S. & de Meulemeester, T.","Stuart Roberts (Bees, Wasps & Ants Recording Society)|Thibaut de Meulemeester (Université de Mons)","13152896,46194142"
43509986,19199759,Andrena helenica,RedListEvaluators,"García, M., Scheuchl, E. & Kemp, J.R.","García, M., Scheuchl, E. & Kemp, J.R.",James Kemp (IUCN Regional Office for Europe - European Red List)|Erwin Scheuchl|Mariana García (IUCN Global Species Programme),"56211724,48994596,43981689"
43510530,19198891,Andrena muscaria,RedListAssessors,"Roberts, S. & de Meulemeester, T.","Roberts, S. & de Meulemeester, T.","Stuart Roberts (Bees, Wasps & Ants Recording Society)|Thibaut de Meulemeester (Université de Mons)","13152896,46194142"
43510530,19198891,Andrena muscaria,RedListEvaluators,"García, M., Scheuchl, E. & Kemp, J.R.","García, M., Scheuchl, E. & Kemp, J.R.",James Kemp (IUCN Regional Office for Europe - European Red List)|Erwin Scheuchl|Mariana García (IUCN Global Species Programme),"56211724,48994596,43981689"
43510570,19199467,Andrena neovirida,RedListAssessors,"Roberts, S. & de Meulemeester, T.","Roberts, S. & de Meulemeester, T.","Stuart Roberts (Bees, Wasps & Ants Recording Society)|Thibaut de Meulemeester (Université de Mons)","13152896,46194142"
43510570,19199467,Andrena neovirida,RedListEvaluators,"García, M., Scheuchl, E. & Kemp, J.R.","García, M., Scheuchl, E. & Kemp, J.R.",James Kemp (IUCN Regional Office for Europe - European Red List)|Erwin Scheuchl|Mariana García (IUCN Global Species Programme),"56211724,48994596,43981689"
43959301,157814,Anaglyptus luteofasciatus,RedListAssessors,"Buse, J., Verdugo, A., Bartolozzi, L., Galante, E. & Mendez, M.","Buse, J., Verdugo, A., Bartolozzi, L., Galante, E. & Mendez, M.","Antonio Verdugo (N/A)|Jörn Buse (Johannes-Gutenberg University of Mainz, Institute of Zoology, Dep. Ecology)|Eduardo Galante (CIBIO-Universidad de Alicante)|Luca Bartolozzi (Zoological Museum La Specola, Italy)|Marco Mendez (Universidad de Chile)","961,877,46770840,2302,80195859"
43959301,157814,Anaglyptus luteofasciatus,RedListEvaluators,"Cálix, M. & Gerlach, J.","Cálix, M. & Gerlach, J.",Justin Gerlach (Terrestrial Invertebrates Red List Authority (TIRLA))|Marta Cálix (IUCN European Red List),"84986092,82"
43959301,157814,Anaglyptus luteofasciatus,RedListContributors,"Petrakis, P., Pettersson, R., Schmidl, J. & Alcázar Montañez, E.","Petrakis, P., Pettersson, R., Schmidl, J. & Alcázar Montañez, E.",Panos Petrakis (SX Beetles)|Jürgen Schmidl (N/A)|Roger Pettersson (N/A)|Elisa Alcázar Montañez (Consultant: IUCN Centre for Mediterranean Cooperation),"873,903,893,17474733"
43959301,157814,Anaglyptus luteofasciatus,RedListFacilitators,"","Nieto, A.",Ana Nieto (IUCN),212
43959900,157893,Anaglyptus praecellens,RedListAssessors,"Buse, J., Verdugo, A., Bartolozzi, L., Galante, E. & Mendez, M.","Buse, J., Verdugo, A., Bartolozzi, L., Galante, E. & Mendez, M.","Antonio Verdugo (N/A)|Jörn Buse (Johannes-Gutenberg University of Mainz, Institute of Zoology, Dep. Ecology)|Eduardo Galante (CIBIO-Universidad de Alicante)|Luca Bartolozzi (Zoological Museum La Specola, Italy)|Marco Mendez (Universidad de Chile)","961,877,46770840,2302,80195859"
43959900,157893,Anaglyptus praecellens,RedListEvaluators,"Cálix, M. & Gerlach, J.","Cálix, M. & Gerlach, J.",Justin Gerlach (Terrestrial Invertebrates Red List Authority (TIRLA))|Marta Cálix (IUCN European Red List),"84986092,82"
43959900,157893,Anaglyptus praecellens,RedListContributors,"Petrakis, P., Pettersson, R., Schmidl, J. & Alcázar Montañez, E.","Petrakis, P., Pettersson, R., Schmidl, J. & Alcázar Montañez, E.",Panos Petrakis (SX Beetles)|Jürgen Schmidl (N/A)|Roger Pettersson (N/A)|Elisa Alcázar Montañez (Consultant: IUCN Centre for Mediterranean Cooperation),"873,903,893,17474733"
43959900,157893,Anaglyptus praecellens,RedListFacilitators,"","Nieto, A.",Ana Nieto (IUCN),212
43996816,157864,Isotomus jarmilae,RedListAssessors,"Buse, J., Verdugo, A., Bartolozzi, L., Mendez, M. & Galante, E.","Buse, J., Verdugo, A., Bartolozzi, L., Mendez, M. & Galante, E.","Antonio Verdugo (N/A)|Jörn Buse (Johannes-Gutenberg University of Mainz, Institute of Zoology, Dep. Ecology)|Eduardo Galante (CIBIO-Universidad de Alicante)|Luca Bartolozzi (Zoological Museum La Specola, Italy)|Marco Mendez (Universidad de Chile)","961,877,46770840,80195859,2302"
43996816,157864,Isotomus jarmilae,RedListEvaluators,"Cálix, M. & Gerlach, J.","Cálix, M. & Gerlach, J.",Justin Gerlach (Terrestrial Invertebrates Red List Authority (TIRLA))|Marta Cálix (IUCN European Red List),"84986092,82"
43996816,157864,Isotomus jarmilae,RedListContributors,"Nieto, A., Petrakis, P., Schmidl, J., Pettersson, R. & Alcázar Montañez, E.","Nieto, A., Petrakis, P., Schmidl, J., Pettersson, R. & Alcázar Montañez, E.",Ana Nieto (IUCN)|Panos Petrakis (SX Beetles)|Jürgen Schmidl (N/A)|Roger Pettersson (N/A)|Elisa Alcázar Montañez (Consultant: IUCN Centre for Mediterranean Cooperation),"212,873,893,903,17474733"
44113885,157668,Ampedus karneri,RedListAssessors,"Zapata de la Vega, J.L., Recalde, J.I., Pettersson, R., Petrakis, P. & Schmidl, J.","Zapata de la Vega, J.L., Recalde, J.I., Pettersson, R., Petrakis, P. & Schmidl, J.",Panos Petrakis (SX Beetles)|Jürgen Schmidl (N/A)|Roger Pettersson (N/A)|José Ignacio Recalde (Mediterranean RL of Anthozoa)|José Luis Zapata de la Vega (IUCN Red List of Mediterranean Saproxylic Beetles expert),"46793075,46372907,903,873,893"
44113885,157668,Ampedus karneri,RedListEvaluators,"Gerlach, J. & Eriksson, T.","Gerlach, J. & Eriksson, T.",Justin Gerlach (Terrestrial Invertebrates Red List Authority (TIRLA))|Therese Eriksson (IUCN Centre for Mediterranean Cooperation),"82,96707147"
