assessmentId,scientificName,internalTaxonId,doi
44114577,Ampedus minos,157495,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T157495A44114577.en
44149210,Procraerus cretensis,157759,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T157759A44149210.en
45462306,Eupholidoptera cephalonica,45462302,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45462302A45462306.en
45462379,Eupholidoptera epirotica,45462354,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45462354A45462379.en
45462578,Eupholidoptera leucasi,45462525,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45462525A45462578.en
45462686,Eupholidoptera megastyla,45462624,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45462624A45462686.en
45463162,Eupholidoptera uvarovi,45463146,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463146A45463162.en
45463215,Eupholidoptera forcipata,45463212,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463212A45463215.en
45463226,Eupholidoptera icariensis,45463223,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463223A45463226.en
45463236,Eupholidoptera jacquelinae,45463233,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463233A45463236.en
45463253,Eupholidoptera kykladica,45463250,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463250A45463253.en
45463288,Eupholidoptera spinigera,45463281,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463281A45463288.en
45463334,Eupholidoptera annamariae,45463331,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463331A45463334.en
45463431,Eupholidoptera astyla,45463340,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463340A45463431.en
45463466,Eupholidoptera feri,45463463,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463463A45463466.en
45463477,Eupholidoptera giuliae,45463473,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463473A45463477.en
45463496,Eupholidoptera latens,45463493,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463493A45463496.en
45463505,Eupholidoptera mariannae,45463502,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45463502A45463505.en
45466681,Poecilimon pindos,45466678,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T45466678A45466681.en
45811388,Pseudosphegesthes bergeri,157538,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T157538A45811388.en
45812940,Purpuricenus graecus,157493,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T157493A45812940.en
45823371,Stenopterus creticus,157798,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T157798A45823371.en
45826874,Trichoferus bergeri,157771,https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T157771A45826874.en
47350001,Ampedus cretensis,47262019,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T47262019A47350001.en
47350709,Ampedus vignai,47262622,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T47262622A47350709.en
47353318,Elater asmodaius,47263254,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T47263254A47353318.en
47353453,Podeonius subcyaneus,47265114,https://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T47265114A47353453.en
47708524,Poecilimon ikariensis,17182027,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17182027A47708524.en
47708697,Poecilimon deplanatus,17181950,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17181950A47708697.en
47726171,Poecilimon klausgerhardi,17182043,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17182043A47726171.en
