internalTaxonId	scientificName	kingdomName	phylumName	className	orderName	familyName	genusName	speciesName	infraType	infraName	infraAuthority	subpopulationName	authority	taxonomicNotes
90668521	Elattoneura vrijdaghi	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	PLATYCNEMIDIDAE	Elattoneura	vrijdaghi	NA	NA	NA	NA	Fraser, 1954	NA
158685	Sympetrum striolatum	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Sympetrum	striolatum	NA	NA	NA	NA	(Charpentier, 1840)	<em>Sympetrum nigrifemur</em> (from the Canaries and Madeira) is considered a subspecies of <em>S. striolatum</em>.
158696	Erythromma lindenii	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Erythromma	lindenii	NA	NA	NA	NA	(Selys, 1840)	Until 2004,&#160;<em>Erythromma lindenii</em> was placed in the genus <em>Cercion</em> although Heidemann and Seidenbusch (1993) had already suggested that the species should be placed in <em>Erythromma</em> based on larval characters. It was not until Weekers and Dumont (2004) confirmed this idea with a DNA-study that this was widely accepted.
158707	Coenagrion puella	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Coenagrion	puella	NA	NA	NA	NA	(Linnaeus, 1758)	Sometimes the subspecies <em>kocheri</em> is recognised.
158711	Ischnura graellsii	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Ischnura	graellsii	NA	NA	NA	NA	(Rambur, 1842)	Locally hybridizes with <em>Ischnura elegans</em>.
165499	Aeshna mixta	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	AESHNIDAE	Aeshna	mixta	NA	NA	NA	NA	Latreille, 1805	NA
165524	Aeshna cyanea	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	AESHNIDAE	Aeshna	cyanea	NA	NA	NA	NA	(Müller, 1764)	NA
184261	Diplacodes luminans	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Diplacodes	luminans	NA	NA	NA	NA	(Karsch, 1893)	<em>Philonomon luminans</em> is junior synonym to <em>Diplacodes luminans</em> (Dijkstra 2006).
13186352	Brachythemis impartita	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Brachythemis	impartita	NA	NA	NA	NA	(Karsch, 1890)	<em>Brachythemis leucosticta</em>&#160;(Burmeister, 1839) was recently split in two distinct cryptic species&#160;(Dijkstra and Matushkina 2009), with&#160;<em>B. impartita</em>&#160;(Karsch, 1890) occurring from the south of Europe and northern Africa to central Africa, and the true&#160;<em>B. leucost</em><em>icta</em>&#160;from the Sahel to South Africa. Both species overlap over a large part of central Africa.
59924	Mastigogomphus pinheyi	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	GOMPHIDAE	Mastigogomphus	pinheyi	NA	NA	NA	NA	(Cammaerts, 1968)	NA
59930	Notogomphus flavifrons	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	GOMPHIDAE	Notogomphus	flavifrons	NA	NA	NA	NA	Fraser, 1952	NA
59938	Notogomphus maathaiae	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	GOMPHIDAE	Notogomphus	maathaiae	NA	NA	NA	NA	Clausnitzer &amp; Dijkstra, 2005	NA
59896	Idomacromia jillianae	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	SYNTHEMISTIDAE	Idomacromia	jillianae	NA	NA	NA	NA	Dijkstra &amp; Kisakye, 2004	NA
59843	Allocnemis superba	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	PLATYCNEMIDIDAE	Allocnemis	superba	NA	NA	NA	NA	(Schmidt, 1951)	Pinhey (1969) made <em>superba</em> Schmidt, 1951 a subspecies of <em>marshalli</em> Ris, 1921. Recently Dijkstra and Clausnitzer (in prep.) treat <em>superba</em> as a valid species again.
184195	Onychogomphus nigrotibialis	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	GOMPHIDAE	Onychogomphus	nigrotibialis	NA	NA	NA	NA	Sjöstedt, 1909	NA
135101	Potamonautes amalerensis	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	POTAMONAUTIDAE	Potamonautes	amalerensis	NA	NA	NA	NA	(Rathbun, 1935)	Bott (1955) treated this taxon as a junior synonym of <em>Potamonautes</em> (<em>Rotundopotamonautes</em>) <em>didieri</em> (Rathbun, 1904). It is recognised here as the valid species <em>Potamonautes amalerensis</em>.
44523	Potamonautes emini	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	POTAMONAUTIDAE	Potamonautes	emini	NA	NA	NA	NA	(Hilgendorf, 1892)	Bott (1955) treated this species as <i>Potamonautes</i> (<i>Rotundopotamonautes</i>) <i>emini emini</i>. Cumberlidge (1997, 1998) treated this species as <i>Potamonautes emini</i>.
44524	Potamonautes gerdalensis	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	POTAMONAUTIDAE	Potamonautes	gerdalensis	NA	NA	NA	NA	Bott, 1955	Bott (1955) treated this species as <em>Potamonautes</em> (<em>Gerdalopotamonautes</em>) <em>gerdalensis</em>. Cumberlidge (1998) and Reed and Cumberlidge (2006) referred to it as <em>Potamonautes gerdalensis</em>.
44533	Potamonautes mutandensis	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	POTAMONAUTIDAE	Potamonautes	mutandensis	NA	NA	NA	NA	(Chace, 1942)	Bott (1955) treated this species as a junior synonym of <em>Potamonautes</em> (<em>Rotundopotamonautes</em>) <em>emini emini</em>. It is treated here as the valid species <em>Potamonautes mutandensis</em>.
44535	Potamonautes niloticus	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	POTAMONAUTIDAE	Potamonautes	niloticus	NA	NA	NA	NA	(H. Milne Edwards, 1837)	Bott (1955) referred to this taxon as <em>Potamonautes</em> (<em>Acanthothelphusa</em>) <em>niloticus</em> (H. Milne Edwards, 1837). This species is treated here as <em>Potamonautes niloticus</em> following the opinion of by Cumberlidge (1997, 1998).
84379236	Aciagrion bapepe	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Aciagrion	bapepe	NA	NA	NA	NA	Dijkstra, 2015	NA
84379328	Africallagma quingentum	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Africallagma	quingentum	NA	NA	NA	NA	Dijkstra, 2015	NA
84379340	Africocypha varicolor	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	CHLOROCYPHIDAE	Africocypha	varicolor	NA	NA	NA	NA	Dijkstra, Mézière &amp; Günther, 2015	NA
84379354	Agriocnemis canuango	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Agriocnemis	canuango	NA	NA	NA	NA	Dijkstra, 2015	NA
84379442	Agriocnemis toto	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Agriocnemis	toto	NA	NA	NA	NA	Dijkstra, 2015	NA
84379587	Anax gladiator	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	AESHNIDAE	Anax	gladiator	NA	NA	NA	NA	Dijkstra &amp; Kipping, 2015	NA
84379591	Ceriagrion banditum	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Ceriagrion	banditum	NA	NA	NA	NA	Kipping &amp; Dijkstra, 2015	NA
84379610	Ceriagrion junceum	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	COENAGRIONIDAE	Ceriagrion	junceum	NA	NA	NA	NA	Dijkstra &amp; Kipping, 2015	NA
84379634	Chlorocypha granata	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	CHLOROCYPHIDAE	Chlorocypha	granata	NA	NA	NA	NA	Dijkstra, 2015	NA
84379749	Chlorocypha maxima	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	CHLOROCYPHIDAE	Chlorocypha	maxima	NA	NA	NA	NA	Dijkstra, Kipping &amp; Mézière, 2015	NA
84379796	Elattoneura lapidaria	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	PLATYCNEMIDIDAE	Elattoneura	lapidaria	NA	NA	NA	NA	Dijkstra &amp; Bjelke, 2015	NA
84379800	Elattoneura tarbotonorum	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	PLATYCNEMIDIDAE	Elattoneura	tarbotonorum	NA	NA	NA	NA	Dijkstra, 2015	NA
84379834	Eleuthemis eogaster	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Eleuthemis	eogaster	NA	NA	NA	NA	Dijkstra, 2015	NA
84379849	Eleuthemis libera	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Eleuthemis	libera	NA	NA	NA	NA	Dijkstra &amp; Kipping, 2015	NA
84379896	Lestinogomphus venustus	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	GOMPHIDAE	Lestinogomphus	venustus	NA	NA	NA	NA	Dijkstra &amp; Mézière, 2015	NA
84380103	Lestinogomphus calcaratus	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	GOMPHIDAE	Lestinogomphus	calcaratus	NA	NA	NA	NA	Dijkstra, 2015	NA
84380154	Lestinogomphus nefrens	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	GOMPHIDAE	Lestinogomphus	nefrens	NA	NA	NA	NA	Dijkstra &amp; Mézière, 2015	NA
84380159	Malgassophlebia andzaba	ANIMALIA	ARTHROPODA	INSECTA	ODONATA	LIBELLULIDAE	Malgassophlebia	andzaba	NA	NA	NA	NA	Dijkstra &amp; Mézière, 2015	NA
