gbif	kingdom	phylum	genus	species	class	order	family
10007921	Animalia	Arthropoda	Chrysoritis	Chrysoritis pyroeis	Insecta	Lepidoptera	Lycaenidae
10011198	Animalia	Arthropoda	Coeliccia	Coeliccia nemoricola	Insecta	Odonata	Platycnemididae
10027223	Animalia	Arthropoda	Asiagomphus	Asiagomphus kosterini	Insecta	Odonata	Gomphidae
10036229	Animalia	Arthropoda	Chrysoritis	Chrysoritis felthami	Insecta	Lepidoptera	Lycaenidae
10037056	Animalia	Arthropoda	Podolestes	Podolestes parvus	Insecta	Odonata	Megapodagrionidae
10038003	Animalia	Arthropoda	Gomphidia	Gomphidia podhigai	Insecta	Odonata	Gomphidae
10049976	Animalia	Arthropoda	Rhinocypha	Rhinocypha flavipoda	Insecta	Odonata	Chlorocyphidae
10055091	Animalia	Arthropoda	Copera	Copera sikassoensis	Insecta	Odonata	Platycnemididae
10066982	Animalia	Arthropoda	Copelatus	Copelatus kely	Insecta	Coleoptera	Dytiscidae
10068467	Animalia	Arthropoda	Igneocnemis	Igneocnemis flammea	Insecta	Odonata	Platycnemididae
10068686	Animalia	Arthropoda	Matticnemis	Matticnemis doi	Insecta	Odonata	Platycnemididae
10070174	Animalia	Arthropoda	Copelatus	Copelatus betampona	Insecta	Coleoptera	Dytiscidae
10092424	Animalia	Arthropoda	Desmolycaena	Desmolycaena mazoensis	Insecta	Lepidoptera	Lycaenidae
10101801	Animalia	Arthropoda	Madaglymbus	Madaglymbus semifactus	Insecta	Coleoptera	Dytiscidae
10107389	Animalia	Arthropoda	Anotogaster	Anotogaster kuchenbeiseri	Insecta	Odonata	Cordulegastridae
10108535	Animalia	Arthropoda	Trimenia	Trimenia wykehami	Insecta	Lepidoptera	Lycaenidae
10115783	Animalia	Arthropoda	Euphaea	Euphaea ornata	Insecta	Odonata	Euphaeidae
10123288	Animalia	Arthropoda	Idiocnemis	Idiocnemis milou	Insecta	Odonata	Platycnemididae
10148149	Animalia	Arthropoda	Allocnemis	Allocnemis nigripes	Insecta	Odonata	Platycnemididae
10184321	Animalia	Arthropoda	Porpacithemis	Porpacithemis dubia	Insecta	Odonata	Libellulidae
10185957	Animalia	Arthropoda	Madaglymbus	Madaglymbus menalamba	Insecta	Coleoptera	Dytiscidae
10186869	Animalia	Arthropoda	Poecilmitis	Poecilmitis aureus	Insecta	Lepidoptera	Lycaenidae
10217687	Animalia	Arthropoda	Copelatus	Copelatus safiotra	Insecta	Coleoptera	Dytiscidae
10220858	Animalia	Arthropoda	Copelatus	Copelatus ankaratra	Insecta	Coleoptera	Dytiscidae
10237851	Animalia	Arthropoda	Indolestes	Indolestes birmanus	Insecta	Odonata	Lestidae
10239440	Animalia	Arthropoda	Blakistonia	Blakistonia bassi	Arachnida	Araneae	Idiopidae
10244711	Animalia	Arthropoda	Luzonargiolestes	Luzonargiolestes baltazarae	Insecta	Odonata	Argiolestidae
10268205	Animalia	Arthropoda	Coeliccia	Coeliccia lecongcoi	Insecta	Odonata	Platycnemididae
10294037	Animalia	Arthropoda	Rhinocypha	Rhinocypha pelengensis	Insecta	Odonata	Chlorocyphidae
10299163	Animalia	Arthropoda	Platycnemis	Platycnemis nyansana	Insecta	Odonata	Platycnemididae
10299238	Animalia	Arthropoda	Indocnemis	Indocnemis marijanmatoki	Insecta	Odonata	Platycnemididae
10309522	Animalia	Arthropoda	Telosticta	Telosticta bidayuh	Insecta	Odonata	Platystictidae
10315836	Animalia	Arthropoda	Crudaria	Crudaria wykehami	Insecta	Lepidoptera	Lycaenidae
10345127	Animalia	Arthropoda	Chrysoritis	Chrysoritis zonarius	Insecta	Lepidoptera	Lycaenidae
10369964	Animalia	Arthropoda	Heliogomphus	Heliogomphus bidentatus	Insecta	Odonata	Gomphidae
10370530	Animalia	Arthropoda	Igneocnemis	Igneocnemis tendipes	Insecta	Odonata	Platycnemididae
10373589	Animalia	Arthropoda	Zeritis	Zeritis chrysaor	Insecta	Lepidoptera	Lycaenidae
10384696	Animalia	Arthropoda	Cephalaeschna	Cephalaeschna yanagisawai	Insecta	Odonata	Aeshnidae
10389174	Animalia	Arthropoda	Rhinocypha	Rhinocypha virgulata	Insecta	Odonata	Chlorocyphidae
10422461	Animalia	Arthropoda	Asiagomphus	Asiagomphus superciliaris	Insecta	Odonata	Gomphidae
10462610	Animalia	Arthropoda	Copelatus	Copelatus vokoka	Insecta	Coleoptera	Dytiscidae
10465837	Animalia	Arthropoda	Copelatus	Copelatus pseudostriatus	Insecta	Coleoptera	Dytiscidae
10473392	Animalia	Arthropoda	Spindasis	Spindasis natalensis	Insecta	Lepidoptera	Lycaenidae
10496684	Animalia	Arthropoda	Zeritis	Zeritis lyncurium	Insecta	Lepidoptera	Lycaenidae
10497628	Animalia	Arthropoda	Madaglymbus	Madaglymbus kelimaso	Insecta	Coleoptera	Dytiscidae
10532367	Animalia	Arthropoda	Photuris	Photuris walldoxeyi	Insecta	Coleoptera	Lampyridae
10548595	Animalia	Arthropoda	Spindasis	Spindasis ella	Insecta	Lepidoptera	Lycaenidae
10554656	Animalia	Arthropoda	Drepanosticta	Drepanosticta dupophila	Insecta	Odonata	Platystictidae
10560564	Animalia	Arthropoda	Idiocnemis	Idiocnemis lakekamuensis	Insecta	Odonata	Platycnemididae
10569879	Animalia	Arthropoda	Salamis	Protogoniomorpha parhassus	Insecta	Lepidoptera	Nymphalidae
10587253	Animalia	Arthropoda	Meneris	Aeropetes tulbaghia	Insecta	Lepidoptera	Nymphalidae
10600147	Animalia	Arthropoda	Amphicnemis	Amphicnemis lestoides	Insecta	Odonata	Coenagrionidae
10612396	Animalia	Arthropoda	Chlorocypha	Chlorocypha centripunctata	Insecta	Odonata	Chlorocyphidae
10614135	Animalia	Arthropoda	Copelatus	Copelatus zanatanensis	Insecta	Coleoptera	Dytiscidae
10615303	Animalia	Arthropoda	Euphaea	Euphaea cyanopogon	Insecta	Odonata	Euphaeidae
10617367	Animalia	Arthropoda	Copelatus	Copelatus amphibius	Insecta	Coleoptera	Dytiscidae
10670168	Animalia	Arthropoda	Palaeosynthemis	Palaeosynthemis elegans	Insecta	Odonata	Synthemistidae
10670501	Animalia	Arthropoda	Igneocnemis	Igneocnemis rubripes	Insecta	Odonata	Platycnemididae
10670701	Animalia	Arthropoda	Diplacina	Diplacina olahi	Insecta	Odonata	Libellulidae
10670989	Animalia	Arthropoda	Palaiargia	Palaiargia clarillii	Insecta	Odonata	Coenagrionidae
10672872	Animalia	Arthropoda	Wahnesia	Wahnesia kutubuensis	Insecta	Odonata	Argiolestidae
10674735	Animalia	Arthropoda	Nososticta	Nososticta parafonticola	Insecta	Odonata	Protoneuridae
10675851	Animalia	Arthropoda	Lycaena	Lycaena clarki	Insecta	Lepidoptera	Lycaenidae
10676059	Animalia	Arthropoda	Telosticta	Telosticta ulubaram	Insecta	Odonata	Platystictidae
10676938	Animalia	Arthropoda	Metagrion	Metagrion coartans	Insecta	Odonata	Argiolestidae
10677067	Animalia	Arthropoda	Pericnemis	Pericnemis kiautarum	Insecta	Odonata	Coenagrionidae
10678353	Animalia	Arthropoda	Stenocypha	Stenocypha hasta	Insecta	Odonata	Chlorocyphidae
10679109	Animalia	Arthropoda	Onychothemis	Onychothemis celebensis	Insecta	Odonata	Libellulidae
10679260	Animalia	Arthropoda	Triops	Triops emeritensis	Branchiopoda	Notostraca	Triopsidae
10679790	Animalia	Arthropoda	Drepanosticta	Drepanosticta simuni	Insecta	Odonata	Platystictidae
10681118	Animalia	Arthropoda	Nososticta	Nososticta manuscola	Insecta	Odonata	Protoneuridae
10682968	Animalia	Arthropoda	Pyrrhargiolestes	Pyrrhargiolestes kula	Insecta	Odonata	Argiolestidae
10683652	Animalia	Arthropoda	Euphaea	Euphaea lara	Insecta	Odonata	Euphaeidae
10684872	Animalia	Arthropoda	Prodasineura	Prodasineura yulan	Insecta	Odonata	Protoneuridae
10685003	Animalia	Arthropoda	Coeliccia	Coeliccia diomedea	Insecta	Odonata	Platycnemididae
10685483	Animalia	Arthropoda	Onychogomphus	Onychogomphus perplexus	Insecta	Odonata	Gomphidae
10685828	Animalia	Arthropoda	Drepanosticta	Drepanosticta burbachi	Insecta	Odonata	Platystictidae
10689804	Animalia	Arthropoda	Microtrigonia	Microtrigonia curvata	Insecta	Odonata	Libellulidae
10689917	Animalia	Arthropoda	Stygionympha	Stygionympha irrorata	Insecta	Lepidoptera	Nymphalidae
10690542	Animalia	Arthropoda	Hylaeargia	Hylaeargia simplex	Insecta	Odonata	Coenagrionidae
10690916	Animalia	Arthropoda	Nososticta	Nososticta tricolorata	Insecta	Odonata	Protoneuridae
10691846	Animalia	Arthropoda	Telosticta	Telosticta dayak	Insecta	Odonata	Platystictidae
10694270	Animalia	Arthropoda	Nososticta	Nososticta eburnea	Insecta	Odonata	Protoneuridae
10695706	Animalia	Arthropoda	Palaeosynthemis	Palaeosynthemis gracilenta	Insecta	Odonata	Synthemistidae
10695797	Animalia	Arthropoda	Thestor	Thestor overbergensis	Insecta	Lepidoptera	Lycaenidae
10696475	Animalia	Arthropoda	Indolestes	Indolestes lundquisti	Insecta	Odonata	Lestidae
10696547	Animalia	Arthropoda	Paramecocnemis	Paramecocnemis eos	Insecta	Odonata	Platycnemididae
10696813	Animalia	Arthropoda	Phanogomphus	Phanogomphus hodgesi	Insecta	Odonata	Gomphidae
10697696	Animalia	Arthropoda	Lanthanusa	Lanthanusa cochlear	Insecta	Odonata	Libellulidae
10698119	Animalia	Arthropoda	Orachrysops	Orachrysops warreni	Insecta	Lepidoptera	Lycaenidae
10698455	Animalia	Arthropoda	Pyrrhargiolestes	Pyrrhargiolestes lamington	Insecta	Odonata	Argiolestidae
10703371	Animalia	Arthropoda	Dingana	Dingana angusta	Insecta	Lepidoptera	Nymphalidae
10703592	Animalia	Arthropoda	Dingana	Dingana jerinae	Insecta	Lepidoptera	Nymphalidae
10703983	Animalia	Arthropoda	Nososticta	Nososticta interrupta	Insecta	Odonata	Protoneuridae
10704460	Animalia	Arthropoda	Metagrion	Metagrion postnodale	Insecta	Odonata	Argiolestidae
10706615	Animalia	Arthropoda	Nososticta	Nososticta ovimacula	Insecta	Odonata	Protoneuridae
10708419	Animalia	Arthropoda	Wahnesia	Wahnesia ephippiata	Insecta	Odonata	Argiolestidae
10710047	Animalia	Arthropoda	Phanogomphus	Phanogomphus descriptus	Insecta	Odonata	Gomphidae
10710317	Animalia	Arthropoda	Palaiargia	Palaiargia susannae	Insecta	Odonata	Coenagrionidae
10710881	Animalia	Arthropoda	Teinobasis	Teinobasis macroglossa	Insecta	Odonata	Coenagrionidae
10710954	Animalia	Arthropoda	Onychogomphus	Onychogomphus cazuma	Insecta	Odonata	Gomphidae
10711741	Animalia	Arthropoda	Teinobasis	Teinobasis flavolineata	Insecta	Odonata	Coenagrionidae
10712531	Animalia	Arthropoda	Phanogomphus	Phanogomphus oklahomensis	Insecta	Odonata	Gomphidae
10714175	Animalia	Arthropoda	Wahnesia	Wahnesia simplex	Insecta	Odonata	Argiolestidae
10714609	Animalia	Arthropoda	Elattoneura	Elattoneura mayombensis	Insecta	Odonata	Protoneuridae
10716030	Animalia	Arthropoda	Nososticta	Nososticta truncata	Insecta	Odonata	Protoneuridae
10716471	Animalia	Arthropoda	Platylestes	Platylestes pertinax	Insecta	Odonata	Lestidae
10717012	Animalia	Arthropoda	Libyogomphus	Libyogomphus tenaculatus	Insecta	Odonata	Gomphidae
10717122	Animalia	Arthropoda	Protosticta	Protosticta joepani	Insecta	Odonata	Platystictidae
10717349	Animalia	Arthropoda	Telosticta	Telosticta belalongensis	Insecta	Odonata	Platystictidae
10717680	Animalia	Arthropoda	Neptis	Neptis goochii	Insecta	Lepidoptera	Nymphalidae
10718222	Animalia	Arthropoda	Metagrion	Metagrion ochrostomum	Insecta	Odonata	Argiolestidae
10718372	Animalia	Arthropoda	Pericnemis	Pericnemis incallida	Insecta	Odonata	Coenagrionidae
10720672	Animalia	Arthropoda	Igneocnemis	Igneocnemis ignea	Insecta	Odonata	Platycnemididae
10721163	Animalia	Arthropoda	Drepanosticta	Drepanosticta leonardi	Insecta	Odonata	Platystictidae
10722000	Animalia	Arthropoda	Coeliccia	Coeliccia pulchella	Insecta	Odonata	Platycnemididae
10722194	Animalia	Arthropoda	Paracercion	Paracercion pendulum	Insecta	Odonata	Coenagrionidae
10722387	Animalia	Arthropoda	Hylogomphus	Hylogomphus adelphus	Insecta	Odonata	Gomphidae
10725817	Animalia	Arthropoda	Nososticta	Nososticta kaizei	Insecta	Odonata	Protoneuridae
10727171	Animalia	Arthropoda	Drepanosticta	Drepanosticta sugbo	Insecta	Odonata	Platystictidae
10728241	Animalia	Arthropoda	Euthygomphus	Euthygomphus parvus	Insecta	Odonata	Gomphidae
10728572	Animalia	Arthropoda	Stenocypha	Stenocypha gracilis	Insecta	Odonata	Chlorocyphidae
10729895	Animalia	Arthropoda	Pericnemis	Pericnemis dowi	Insecta	Odonata	Coenagrionidae
10730031	Animalia	Arthropoda	Metagrion	Metagrion montivagans	Insecta	Odonata	Argiolestidae
10730924	Animalia	Arthropoda	Telosticta	Telosticta berawan	Insecta	Odonata	Platystictidae
10732892	Animalia	Arthropoda	Hemicordulia	Hemicordulia teramotoi	Insecta	Odonata	Corduliidae
10734173	Animalia	Arthropoda	Wahnesia	Wahnesia saltuaria	Insecta	Odonata	Argiolestidae
10735675	Animalia	Arthropoda	Nososticta	Nososticta caelestis	Insecta	Odonata	Protoneuridae
10735804	Animalia	Arthropoda	Phanogomphus	Phanogomphus quadricolor	Insecta	Odonata	Gomphidae
10736316	Animalia	Arthropoda	Diplacina	Diplacina holgerhungeri	Insecta	Odonata	Libellulidae
10737313	Animalia	Arthropoda	Serradinga	Serradinga kammanassiensis	Insecta	Lepidoptera	Nymphalidae
10737903	Animalia	Arthropoda	Palaiargia	Palaiargia traunae	Insecta	Odonata	Coenagrionidae
10738037	Animalia	Arthropoda	Borneogomphus	Borneogomphus teramotoi	Insecta	Odonata	Gomphidae
10738166	Animalia	Arthropoda	Phanogomphus	Phanogomphus kurilis	Insecta	Odonata	Gomphidae
10739445	Animalia	Arthropoda	Orachrysops	Orachrysops brinkmani	Insecta	Lepidoptera	Lycaenidae
10739776	Animalia	Arthropoda	Wahnesia	Wahnesia esuriens	Insecta	Odonata	Argiolestidae
10741644	Animalia	Arthropoda	Nososticta	Nososticta paraconifera	Insecta	Odonata	Protoneuridae
10742562	Animalia	Arthropoda	Pseudagrion	Pseudagrion woodlarkensis	Insecta	Odonata	Coenagrionidae
10742660	Animalia	Arthropoda	Asterope	Asterope rosa	Insecta	Lepidoptera	Nymphalidae
10742996	Animalia	Arthropoda	Drepanosticta	Drepanosticta pterophora	Insecta	Odonata	Platystictidae
10743117	Animalia	Arthropoda	Prodasineura	Prodasineura lancastrei	Insecta	Odonata	Protoneuridae
10743861	Animalia	Arthropoda	Metagrion	Metagrion subornatum	Insecta	Odonata	Argiolestidae
10745307	Animalia	Arthropoda	Stenocypha	Stenocypha jacksoni	Insecta	Odonata	Chlorocyphidae
10746411	Animalia	Arthropoda	Paternympha	Paternympha narycia	Insecta	Lepidoptera	Nymphalidae
10746552	Animalia	Arthropoda	Aloeides	Aloeides maluti	Insecta	Lepidoptera	Lycaenidae
10749965	Animalia	Arthropoda	Pyrrhargiolestes	Pyrrhargiolestes sidonia	Insecta	Odonata	Argiolestidae
10750301	Animalia	Arthropoda	Orachrysops	Orachrysops regalis	Insecta	Lepidoptera	Lycaenidae
10750727	Animalia	Arthropoda	Akrothemis	Akrothemis risi	Insecta	Odonata	Libellulidae
10751596	Animalia	Arthropoda	Phanogomphus	Phanogomphus cavillaris	Insecta	Odonata	Gomphidae
10751842	Animalia	Arthropoda	Paramecocnemis	Paramecocnemis spinosa	Insecta	Odonata	Platycnemididae
10752551	Animalia	Arthropoda	Iolaus	Iolaus nasisii	Insecta	Lepidoptera	Lycaenidae
10755655	Animalia	Arthropoda	Metagrion	Metagrion fontinale	Insecta	Odonata	Argiolestidae
10756549	Animalia	Arthropoda	Telosticta	Telosticta gading	Insecta	Odonata	Platystictidae
10756934	Animalia	Arthropoda	Linderiella	Linderiella baetica	Branchiopoda	Anostraca	Chirocephalidae
10757913	Animalia	Arthropoda	Stylogomphus	Stylogomphus thongphaphumensis	Insecta	Odonata	Gomphidae
10758653	Animalia	Arthropoda	Microtrigonia	Microtrigonia sinuosa	Insecta	Odonata	Libellulidae
10759256	Animalia	Arthropoda	Chlorogomphus	Chlorogomphus caloptera	Insecta	Odonata	Cordulegastridae
10762118	Animalia	Arthropoda	Coeliccia	Coeliccia junis	Insecta	Odonata	Platycnemididae
10764735	Animalia	Arthropoda	Akrothemis	Akrothemis bimaculata	Insecta	Odonata	Libellulidae
10765497	Animalia	Arthropoda	Pyrrhargiolestes	Pyrrhargiolestes angulatus	Insecta	Odonata	Argiolestidae
10766175	Animalia	Arthropoda	Chrysoritis	Chrysoritis violescens	Insecta	Lepidoptera	Lycaenidae
10769251	Animalia	Arthropoda	Gynacantha	Gynacantha heros	Insecta	Odonata	Aeshnidae
10771584	Animalia	Arthropoda	Metagrion	Metagrion aurantiacum	Insecta	Odonata	Argiolestidae
10772880	Animalia	Arthropoda	Pseudagrion	Pseudagrion farinicolle	Insecta	Odonata	Coenagrionidae
10772918	Animalia	Arthropoda	Amphicnemis	Amphicnemis rigiketit	Insecta	Odonata	Coenagrionidae
10775634	Animalia	Arthropoda	Wahnesia	Wahnesia saltator	Insecta	Odonata	Argiolestidae
10775939	Animalia	Arthropoda	Orachrysops	Orachrysops subravus	Insecta	Lepidoptera	Lycaenidae
10776438	Animalia	Arthropoda	Cassionympha	Cassionympha camdeboo	Insecta	Lepidoptera	Nymphalidae
10777218	Animalia	Arthropoda	Phanogomphus	Phanogomphus graslinellus	Insecta	Odonata	Gomphidae
10777466	Animalia	Arthropoda	Palaiargia	Palaiargia quandti	Insecta	Odonata	Coenagrionidae
10778287	Animalia	Arthropoda	Palaeosynthemis	Palaeosynthemis nigrostigma	Insecta	Odonata	Synthemistidae
10779107	Animalia	Arthropoda	Diplacina	Diplacina guentherpetersi	Insecta	Odonata	Libellulidae
10779605	Animalia	Arthropoda	Phanogomphus	Phanogomphus spicatus	Insecta	Odonata	Gomphidae
10779683	Animalia	Arthropoda	Papuagrion	Papuagrion parameles	Insecta	Odonata	Coenagrionidae
10781281	Animalia	Arthropoda	Wahnesia	Wahnesia armeniaca	Insecta	Odonata	Argiolestidae
10784693	Animalia	Arthropoda	Cacyreus	Cacyreus virilis	Insecta	Lepidoptera	Lycaenidae
10785382	Animalia	Arthropoda	Metagrion	Metagrion ornatum	Insecta	Odonata	Argiolestidae
10787764	Animalia	Arthropoda	Triops	Triops baeticus	Branchiopoda	Notostraca	Triopsidae
10789382	Animalia	Arthropoda	Coeliccia	Coeliccia yunnanensis	Insecta	Odonata	Platycnemididae
10789640	Animalia	Arthropoda	Nososticta	Nososticta longicauda	Insecta	Odonata	Protoneuridae
10791654	Animalia	Arthropoda	Ceriagrion	Ceriagrion hoogerwerfi	Insecta	Odonata	Coenagrionidae
10791739	Animalia	Arthropoda	Kedestes	Kedestes sarahae	Insecta	Lepidoptera	Hesperiidae
10793206	Animalia	Arthropoda	Hylogomphus	Hylogomphus apomyius	Insecta	Odonata	Gomphidae
10793607	Animalia	Arthropoda	Coeliccia	Coeliccia caerulea	Insecta	Odonata	Platycnemididae
10794233	Animalia	Arthropoda	Argiolaus	Argiolaus silas	Insecta	Lepidoptera	Lycaenidae
10794642	Animalia	Arthropoda	Aloeides	Aloeides mbuluensis	Insecta	Lepidoptera	Lycaenidae
10794860	Animalia	Arthropoda	Teinobasis	Teinobasis fatakula	Insecta	Odonata	Coenagrionidae
10797256	Animalia	Arthropoda	Metagrion	Metagrion indentatum	Insecta	Odonata	Argiolestidae
10797594	Animalia	Arthropoda	Triops	Triops vicentinus	Branchiopoda	Notostraca	Triopsidae
10800415	Animalia	Arthropoda	Telosticta	Telosticta janeus	Insecta	Odonata	Platystictidae
10801312	Animalia	Arthropoda	Wahnesia	Wahnesia prothoracalis	Insecta	Odonata	Argiolestidae
10802941	Animalia	Arthropoda	Phanogomphus	Phanogomphus militaris	Insecta	Odonata	Gomphidae
10803058	Animalia	Arthropoda	Anisogomphus	Anisogomphus ceylonicus	Insecta	Odonata	Gomphidae
10803697	Animalia	Arthropoda	Teinobasis	Teinobasis cuneata	Insecta	Odonata	Coenagrionidae
10804311	Animalia	Arthropoda	Thestor	Thestor barbatus	Insecta	Lepidoptera	Lycaenidae
10804524	Animalia	Arthropoda	Teinobasis	Teinobasis lutea	Insecta	Odonata	Coenagrionidae
10805333	Animalia	Arthropoda	Axiocerses	Axiocerses coalescens	Insecta	Lepidoptera	Lycaenidae
10805335	Animalia	Arthropoda	Phanogomphus	Phanogomphus westfalli	Insecta	Odonata	Gomphidae
10806936	Animalia	Arthropoda	Pyrrhosoma	Pyrrhosoma latiloba	Insecta	Odonata	Coenagrionidae
10807423	Animalia	Arthropoda	Pandanobasis	Pandanobasis curacha	Insecta	Odonata	Coenagrionidae
10809879	Animalia	Arthropoda	Neurothemis	Neurothemis manadensis	Insecta	Odonata	Libellulidae
10810621	Animalia	Arthropoda	Gynacantha	Gynacantha amphora	Insecta	Odonata	Aeshnidae
10810963	Animalia	Arthropoda	Metagrion	Metagrion verrucatum	Insecta	Odonata	Argiolestidae
10811179	Animalia	Arthropoda	Capys	Capys disjunctus	Insecta	Lepidoptera	Lycaenidae
10811831	Animalia	Arthropoda	Dingana	Dingana alticola	Insecta	Lepidoptera	Nymphalidae
10812050	Animalia	Arthropoda	Dingana	Dingana fraterna	Insecta	Lepidoptera	Nymphalidae
10813580	Animalia	Arthropoda	Aloeides	Aloeides taikosama	Insecta	Lepidoptera	Lycaenidae
10814005	Animalia	Arthropoda	Neurothemis	Neurothemis papuensis	Insecta	Odonata	Libellulidae
10815562	Animalia	Arthropoda	Austroaeschna	Austroaeschna cooloola	Insecta	Odonata	Aeshnidae
10816079	Animalia	Arthropoda	Protosticta	Protosticta myristicaensis	Insecta	Odonata	Platystictidae
10816413	Animalia	Arthropoda	Larsenia	Larsenia holtzi	Insecta	Lepidoptera	Hesperiidae
10816486	Animalia	Arthropoda	Pandanobasis	Pandanobasis daku	Insecta	Odonata	Coenagrionidae
10817291	Animalia	Arthropoda	Orachrysops	Orachrysops violescens	Insecta	Lepidoptera	Lycaenidae
10817719	Animalia	Arthropoda	Lanthanusa	Lanthanusa bilineata	Insecta	Odonata	Libellulidae
10817908	Animalia	Arthropoda	Ischnura	Ischnura nursei	Insecta	Odonata	Coenagrionidae
10817949	Animalia	Arthropoda	Coeliccia	Coeliccia lephuocdieui	Insecta	Odonata	Platycnemididae
10818597	Animalia	Arthropoda	Phanogomphus	Phanogomphus diminutus	Insecta	Odonata	Gomphidae
10819427	Animalia	Arthropoda	Teinobasis	Teinobasis annamalija	Insecta	Odonata	Coenagrionidae
10820288	Animalia	Arthropoda	Teinobasis	Teinobasis chrysea	Insecta	Odonata	Coenagrionidae
10821054	Animalia	Arthropoda	Phanogomphus	Phanogomphus exilis	Insecta	Odonata	Gomphidae
10821136	Animalia	Arthropoda	Papuagrion	Papuagrion stellimontanum	Insecta	Odonata	Coenagrionidae
10821248	Animalia	Arthropoda	Platycypha	Platycypha inyangae	Insecta	Odonata	Chlorocyphidae
10823587	Animalia	Arthropoda	Telosticta	Telosticta kajang	Insecta	Odonata	Platystictidae
10824668	Animalia	Arthropoda	Anthene	Anthene lindae	Insecta	Lepidoptera	Lycaenidae
10824930	Animalia	Arthropoda	Hylaeargia	Hylaeargia lisae	Insecta	Odonata	Coenagrionidae
10825573	Animalia	Arthropoda	Stygionympha	Stygionympha curlei	Insecta	Lepidoptera	Nymphalidae
10826147	Animalia	Arthropoda	Chrysoritis	Chrysoritis rileyi	Insecta	Lepidoptera	Lycaenidae
10826816	Animalia	Arthropoda	Metagrion	Metagrion lamprostomum	Insecta	Odonata	Argiolestidae
10826888	Animalia	Arthropoda	Allocnemis	Allocnemis interrupta	Insecta	Odonata	Platycnemididae
10828325	Animalia	Arthropoda	Nososticta	Nososticta chrismulleri	Insecta	Odonata	Protoneuridae
10829220	Animalia	Arthropoda	Igneocnemis	Igneocnemis haematopus	Insecta	Odonata	Platycnemididae
10829481	Animalia	Arthropoda	Aloeides	Aloeides monticola	Insecta	Lepidoptera	Lycaenidae
10829698	Animalia	Arthropoda	Drepanosticta	Drepanosticta batanta	Insecta	Odonata	Platystictidae
10830551	Animalia	Arthropoda	Coeliccia	Coeliccia curua	Insecta	Odonata	Platycnemididae
10830809	Animalia	Arthropoda	Baliochila	Baliochila aslanga	Insecta	Lepidoptera	Lycaenidae
10831048	Animalia	Arthropoda	Nososticta	Nososticta moginae	Insecta	Odonata	Protoneuridae
10833230	Animalia	Arthropoda	Zeritis	Zeritis aethon	Insecta	Lepidoptera	Lycaenidae
10833750	Animalia	Arthropoda	Acraea	Telchinia alalonga	Insecta	Lepidoptera	Nymphalidae
10834363	Animalia	Arthropoda	Nososticta	Nososticta makrodon	Insecta	Odonata	Protoneuridae
10834606	Animalia	Arthropoda	Coeliccia	Coeliccia tongbiguan	Insecta	Odonata	Platycnemididae
10834746	Animalia	Arthropoda	Prodasineura	Prodasineura poncei	Insecta	Odonata	Protoneuridae
10837037	Animalia	Arthropoda	Nososticta	Nososticta halmahera	Insecta	Odonata	Protoneuridae
10838511	Animalia	Arthropoda	Metagrion	Metagrion pectitum	Insecta	Odonata	Argiolestidae
10839421	Animalia	Arthropoda	Telosticta	Telosticta longigaster	Insecta	Odonata	Platystictidae
10839760	Animalia	Arthropoda	Sallya	Sallya natalensis	Insecta	Lepidoptera	Nymphalidae
10839987	Animalia	Arthropoda	Megalestes	Megalestes australis	Insecta	Odonata	Synlestidae
10842686	Animalia	Arthropoda	Wahnesia	Wahnesia microstigma	Insecta	Odonata	Argiolestidae
10842887	Animalia	Arthropoda	Platylesches	Platylesches dolomitica	Insecta	Lepidoptera	Hesperiidae
10844185	Animalia	Arthropoda	Nososticta	Nososticta azurosignata	Insecta	Odonata	Protoneuridae
10844304	Animalia	Arthropoda	Phanogomphus	Phanogomphus lividus	Insecta	Odonata	Gomphidae
10844858	Animalia	Arthropoda	Diplacina	Diplacina paragua	Insecta	Odonata	Libellulidae
10845690	Animalia	Arthropoda	Palaeosynthemis	Palaeosynthemis opaca	Insecta	Odonata	Synthemistidae
10846124	Animalia	Arthropoda	Caliphaea	Caliphaea hermannkunzi	Insecta	Odonata	Calopterygidae
10846483	Animalia	Arthropoda	Palaiargia	Palaiargia benkeni	Insecta	Odonata	Coenagrionidae
10846621	Animalia	Arthropoda	Acrogomphus	Acrogomphus walshi	Insecta	Odonata	Gomphidae
10846711	Animalia	Arthropoda	Coeliccia	Coeliccia natgeo	Insecta	Odonata	Platycnemididae
10846746	Animalia	Arthropoda	Phanogomphus	Phanogomphus australis	Insecta	Odonata	Gomphidae
10847973	Animalia	Arthropoda	Orachrysops	Orachrysops montanus	Insecta	Lepidoptera	Lycaenidae
10851146	Animalia	Arthropoda	Pseudagrion	Pseudagrion parafarinicolle	Insecta	Odonata	Coenagrionidae
10851245	Animalia	Arthropoda	Sevenia	Sevenia morantii	Insecta	Lepidoptera	Nymphalidae
10852461	Animalia	Arthropoda	Metagrion	Metagrion trigonale	Insecta	Odonata	Argiolestidae
10852542	Animalia	Arthropoda	Allocnemis	Allocnemis superba	Insecta	Odonata	Platycnemididae
10854291	Animalia	Arthropoda	Allocnemis	Allocnemis pauli	Insecta	Odonata	Platycnemididae
10855268	Animalia	Arthropoda	Drepanosticta	Drepanosticta pararudicula	Insecta	Odonata	Platystictidae
