scientificName	n_sites	eoo	eoo_overlap
Stictoleptura cordigera anojiaensis	20	3128.9661172339	3126.32777250353
Trichoferus berberidis	5	2481.30203115306	2158.24585893178
Chrysis pseudoscutellaris	14	5687.30912155594	4946.73016918102
Cyclophora ariadne	6	1523.09776549534	1519.75949225256
Stenophylax minoicus	14	2538.3485739361	2458.61809421626
Tinodes rethimnon	3	268.644812535883	268.644812535883
Pholcus spiliensis	11	3218.03192483086	2978.28617452135
Eupholidoptera astyla	51	3526.0428923273	3427.2747574665
Phytocoris eduardi	3	194.851733035466	190.632957252871
Phytocoris malickyi	3	237.270486331817	230.012165584233
Drusilla cretica	10	1129.94073228526	1111.57635941654
Geostiba idaea	7	104.304589375956	104.304589375958
Dendarus graecus	71	4502.95942626377	4177.73455428388
Calopteryx splendens cretensis	14	1760.39468246264	1716.87691347434
Athripsodes longispinosus paleochora	7	2246.41769439376	1939.49250821965
Macrothele cretica	15	1248.28076519096	1227.81840437101
Anthaxia nigrojubata inexpectata	12	1282.25919313852	1280.68391541263
Crocallis helenaria	3	267.743626239974	263.906253561961
Eumannia psyloritaria	4	507.348203118384	507.348203118373
Glossotrophia mentzeri	15	3778.16230308075	3615.55635060826
Zelotes creticus	23	1658.78738236485	1606.32318659334
Tychus chanianus	2	NA	NA
Batrisodes paganettii	7	2385.29608821296	2262.65537274468
Geostiba icaria	3	1.54633479281032	1.54633479281032
Gabrius candicus	1	NA	NA
Scopaeus muehlei	5	2338.28816922071	2332.28782722373
Isotomus jarmilae	7	468.365581462826	468.365581462826
Amauronyx occidens	2	NA	NA
Macrotylus soosi	8	1938.02872461775	1932.9503853558
Lobrathium candicum	7	2862.83452688411	2855.96579613573
Leptomastax cretica	18	1816.76177340852	1816.76177340852
Stenichnus basimpressus	7	766.015521904494	758.207355001434
Scydmoraphes ziegleri	8	1826.24639124513	1667.14436803903
Aelurillus cretensis	10	4095.47546959197	3857.53978796957
Acmaeodera bartoni	23	2682.71917634336	2664.40778369612
Anthaxia senicula cretica	3	150.171696494285	148.748742235663
Latipalpis margotana	10	1505.84098429953	1503.34284966384
Geostiba albimontis	6	79.7930932530299	79.7930932530299
Pseudosphegesthes bergeri	3	14.6927563103545	14.6927563103545
Stictoleptura picticornis	16	2654.38193121334	2652.08607018663
Laena oertzeni	2	NA	NA
Faronus meybohmi	12	178.860798118517	178.860798118517
Amauronyx chanianus	1	NA	NA
Oxypoda retunsa	8	1002.00018054429	1002.00018054431
Pellenes florii	1	NA	NA
Bidessus cretensis	1	NA	NA
Pogonocherus perroudi brevipilosus	1	NA	NA
Aloconota minoica	4	606.59343139715	534.376492995661
Gryllomorpha cretensis	104	11656.2917996594	7179.8078248116
Acmaeoderella rezeki	1	NA	NA
Dailognatha quadricollis pseudobtusangula	3	1.79477327041125	1.02223642277923
Dendarus dragonadanus	7	2.52730982244943	1.40534965332782
Grammoptera auricollis basicornis	5	800.400103468952	800.400103468952
Platycleis albopunctata cretica	17	1078.01015244054	1078.01015244054
Malthonica daedali	1	NA	NA
Stenus ariadne	2	NA	NA
