order	threatened	n	source
Harpacticoida	TRUE	8	endemic_europe_redlist
Hemiptera	FALSE	7	endemic_europe_redlist
Hemiptera	TRUE	8	endemic_europe_redlist
Hygrophila	FALSE	6	endemic_europe_redlist
Hygrophila	TRUE	8	endemic_europe_redlist
Hymenophyllales	TRUE	1	endemic_europe_redlist
Hymenoptera	FALSE	172	endemic_europe_redlist
Hymenoptera	TRUE	47	endemic_europe_redlist
Hypnales	FALSE	4	endemic_europe_redlist
Hypnales	TRUE	16	endemic_europe_redlist
Isoetales	FALSE	2	endemic_europe_redlist
Isoetales	TRUE	10	endemic_europe_redlist
Isopoda	FALSE	1	endemic_europe_redlist
Isopoda	TRUE	14	endemic_europe_redlist
Jungermanniales	FALSE	2	endemic_europe_redlist
Jungermanniales	TRUE	6	endemic_europe_redlist
Lagomorpha	TRUE	1	endemic_europe_redlist
Lamiales	FALSE	39	endemic_europe_redlist
Lamiales	TRUE	36	endemic_europe_redlist
Laurales	FALSE	1	endemic_europe_redlist
Laurales	TRUE	1	endemic_europe_redlist
Lecanorales	TRUE	5	endemic_europe_redlist
Lepetellida	FALSE	2	endemic_europe_redlist
Lepidoptera	FALSE	52	endemic_europe_redlist
Lepidoptera	TRUE	34	endemic_europe_redlist
Liliales	FALSE	18	endemic_europe_redlist
Liliales	TRUE	13	endemic_europe_redlist
Littorinimorpha	FALSE	262	endemic_europe_redlist
Littorinimorpha	TRUE	284	endemic_europe_redlist
Lophiiformes	FALSE	6	endemic_europe_redlist
Lycopodiales	FALSE	2	endemic_europe_redlist
Lycopodiales	TRUE	1	endemic_europe_redlist
Malpighiales	FALSE	18	endemic_europe_redlist
Malpighiales	TRUE	13	endemic_europe_redlist
Malvales	FALSE	4	endemic_europe_redlist
Malvales	TRUE	10	endemic_europe_redlist
Mantodea	FALSE	8	endemic_europe_redlist
Mantodea	TRUE	5	endemic_europe_redlist
Marchantiales	TRUE	1	endemic_europe_redlist
Myrtales	FALSE	1	endemic_europe_redlist
Mytilida	FALSE	1	endemic_europe_redlist
Neogastropoda	FALSE	4	endemic_europe_redlist
Neomphalida	FALSE	2	endemic_europe_redlist
Neuroptera	FALSE	1	endemic_europe_redlist
Notostraca	TRUE	3	endemic_europe_redlist
Nudibranchia	FALSE	1	endemic_europe_redlist
Octopoda	FALSE	2	endemic_europe_redlist
Odonata	FALSE	1	endemic_europe_redlist
Odonata	TRUE	7	endemic_europe_redlist
Oegopsida	FALSE	4	endemic_europe_redlist
Ophidiiformes	FALSE	2	endemic_europe_redlist
Oribatida	FALSE	22	endemic_europe_redlist
Orthoptera	FALSE	270	endemic_europe_redlist
Orthoptera	TRUE	182	endemic_europe_redlist
Orthotrichales	FALSE	1	endemic_europe_redlist
Orthotrichales	TRUE	3	endemic_europe_redlist
Osmeriformes	FALSE	1	endemic_europe_redlist
Passeriformes	FALSE	6	endemic_europe_redlist
Passeriformes	TRUE	3	endemic_europe_redlist
Patellida	FALSE	1	endemic_europe_redlist
Pennatulacea	TRUE	1	endemic_europe_redlist
Perciformes	FALSE	7	endemic_europe_redlist
Perciformes	TRUE	6	endemic_europe_redlist
Petromyzontiformes	TRUE	1	endemic_europe_redlist
Pinales	FALSE	2	endemic_europe_redlist
Pinales	TRUE	5	endemic_europe_redlist
Plecoptera	FALSE	1	endemic_europe_redlist
Poales	FALSE	31	endemic_europe_redlist
Poales	TRUE	18	endemic_europe_redlist
Podocopida	TRUE	4	endemic_europe_redlist
Poduromorpha	FALSE	1	endemic_europe_redlist
Polydesmida	TRUE	1	endemic_europe_redlist
Polypodiales	FALSE	13	endemic_europe_redlist
Polypodiales	TRUE	9	endemic_europe_redlist
Polytrichales	FALSE	1	endemic_europe_redlist
Porellales	FALSE	2	endemic_europe_redlist
Porellales	TRUE	3	endemic_europe_redlist
Pottiales	FALSE	3	endemic_europe_redlist
Pottiales	TRUE	4	endemic_europe_redlist
Procellariiformes	TRUE	2	endemic_europe_redlist
Pseudoscorpiones	TRUE	2	endemic_europe_redlist
Psocoptera	FALSE	2	endemic_europe_redlist
Rajiformes	TRUE	1	endemic_europe_redlist
Ranunculales	FALSE	3	endemic_europe_redlist
Ranunculales	TRUE	8	endemic_europe_redlist
Rodentia	FALSE	2	endemic_europe_redlist
Rodentia	TRUE	2	endemic_europe_redlist
Rosales	FALSE	44	endemic_europe_redlist
Rosales	TRUE	156	endemic_europe_redlist
Russulales	TRUE	1	endemic_europe_redlist
Saccopharyngiformes	FALSE	3	endemic_europe_redlist
Salmoniformes	FALSE	21	endemic_europe_redlist
Salmoniformes	TRUE	26	endemic_europe_redlist
Santalales	TRUE	2	endemic_europe_redlist
Sapindales	FALSE	2	endemic_europe_redlist
Sapindales	TRUE	1	endemic_europe_redlist
Saxifragales	FALSE	2	endemic_europe_redlist
Saxifragales	TRUE	12	endemic_europe_redlist
Scorpaeniformes	FALSE	10	endemic_europe_redlist
Scorpaeniformes	TRUE	3	endemic_europe_redlist
Siluriformes	FALSE	1	endemic_europe_redlist
Siphonaptera	TRUE	1	endemic_europe_redlist
Solanales	FALSE	2	endemic_europe_redlist
Solanales	TRUE	5	endemic_europe_redlist
Sorbeoconcha	FALSE	2	endemic_europe_redlist
Sorbeoconcha	TRUE	3	endemic_europe_redlist
Sphagnales	TRUE	2	endemic_europe_redlist
Squaliformes	FALSE	1	endemic_europe_redlist
Squamata	FALSE	19	endemic_europe_redlist
Squamata	TRUE	15	endemic_europe_redlist
Stylommatophora	FALSE	1028	endemic_europe_redlist
Stylommatophora	TRUE	428	endemic_europe_redlist
Teloschistales	TRUE	1	endemic_europe_redlist
Testudines	FALSE	1	endemic_europe_redlist
Thysanoptera	TRUE	1	endemic_europe_redlist
Trichoptera	FALSE	2	endemic_europe_redlist
Trochida	FALSE	1	endemic_europe_redlist
Tryblidiida	FALSE	1	endemic_europe_redlist
Unionida	FALSE	1	endemic_europe_redlist
Unionida	TRUE	1	endemic_europe_redlist
Zoanthinaria	FALSE	4	endemic_europe_redlist
Amblypygi	TRUE	2	world_redlist
Amphipoda	FALSE	2	world_redlist
Amphipoda	TRUE	72	world_redlist
Anaspidacea	TRUE	4	world_redlist
Anostraca	FALSE	4	world_redlist
Anostraca	TRUE	26	world_redlist
Araneae	FALSE	155	world_redlist
Araneae	TRUE	210	world_redlist
Archaeognatha	FALSE	1	world_redlist
Archaeognatha	TRUE	2	world_redlist
Blattodea	FALSE	11	world_redlist
