scientificName	eoo_wildlife
Anthaxia praeclara creticola	213.558187606128
Harpalus sulphuripes creticus	94.8364456335656
Anaglyptus praecellens	2.15014335292608
Callimus angulatus glabrescens	124.883159445513
Leiopus nebulosus insulanus	NA
Purpuricenus schurmanni	93.055308078341
Claviger oertzeni	NA
Dailognatha cylindritarsis	392.23726570608
Dichillus obenbergeri	NA
Helops glabriventris jelineki	2.23113913783878
Odocnemis cretensis	323.763438017304
Heterocordylus heissi	NA
Messor creticus	38.3084577363197
Ennomos duercki	0.343580295480838
Pareulype lasithiotica	52.9367509666608
Cephennium selinonum	NA
Dailognatha quadricollis montana	113.914962638874
Dendarus wettsteini	0.0816720442791641
Astenus minos	1.56486694382208
Palliduphantes malickyi	87.320414658764
Allantus nigrolinearis	42.3199747447892
Pristiphora cretica	36.00290311238
Maurodactylus fulvus	22.543492084412
Bellatheta albimontis	0.059856402634005
Quedius praecisus	2.62460959001432
Temnothorax minotaurosi	NA
Chrysis grohmanni cretensis	15.8265792619557
Temnothorax ariadnae	11.3855433142825
Ovaliptila lindbergi	322.531842421079
Heterarthrus imbrosensis	0.665600830804594
Boreaphilus meybohmi	0.115775669225176
Geostiba inexsecta	NA
Boreaphilus fueschleri	64.66569669993
Amischa cretica	0.0630479507676362
Afropselaphus assingi	NA
Ocalea cretica	38.4763716179554
Cyllecoris ernsti	17.9365705942222
Tectusa callicera	0.0212084816113047
Kalama cretica	NA
Atheta cretica	0.165030257029519
Atheta digitalis	NA
Faronus albimontium	NA
Faronus lefkamontium	NA
Cephennium idanum	NA
Cephennium latius	NA
Cretotyphlus idanus	NA
Philodromus johani	NA
Dolichopoda paraskevi	126.479154676038
Phlegra theseusi	12.8989914959669
Nebula schneideraria eteocretica	NA
Euplectus assingi	80.4534614255258
Pristiphora parnasia	12.2708909074817
Eupholidoptera pallipes	0.030761213358139
Afropselaphus dornfeldae	NA
Eupholidoptera cretica	0.561804187785553
Anamastigona penicillata	NA
Anthaxia idea	3.24632602588995
Agapanthia cretica	124.805487986045
Strigopteroides margotanae	NA
Pogonocherus creticus	28.7080701686475
Geostiba exsecta	6.9419463671251
Oxypoda idana	NA
Myrmecopora idana	6.63961170757259
Myrmecopora elisa	2.48547173894491
Sepedophilus creticus	66.3147355462424
Amblyiulus creticus	199.97305756357
Orthotylus mariagratiae	NA
Oxypoda bimontium	1.36736851983609
Temnothorax incompletus	NA
Kenotyphlus creticus	NA
Cephennium sinuosum	15.2711925363999
Cephennium selenanum	NA
