species	aoo_wildlife
Lasius tapinomoides	4.10255528224054
Latipalpis margotana	0.588819366193054
Leiopus nebulosus insulanus	0
Leptobium creticum	16.0700599248872
Leptobium thryptisense	0.391040397081879
Leptodrassus hadjissaranti	3.19217494412732
Leptomastax cretica	19.3998759335748
Leptomastax thryptica	0
Lesteva longoelytrata cretica	0.51106132888299
Lesteva nitidicollis	1.86495830195518
Lesteva szekessyi	0.278855730710502
Limnephilus minos	0.221101986086375
Lithobius creticus	21.7766725415388
Lobrathium candicum	0.450316737403583
Macrothele cretica	2.32430705375458
Macrotylus soosi	2.63059544152103
Maimuna cretica	20.7214187350256
Malthonica daedali	0
Malthonica minoa	6.21841788232758
Maurodactylus fulvus	0.104653537887894
Medon beroni	0.0436112882784517
Medon cerrutii	15.704858513654
Megaphyllum cretica	34.9200971502959
Messor concolor	0
Messor creticus	2.90239949529291
Monomorium creticum	59.79579317115
Myllaena cretica	0
Myrmecopora elisa	0
Myrmecopora fornicata	1.15956382137844
Myrmecopora idana	3.33496374033823
Myrmecopora plana	4.71973361170441
Myrmecopora thriptica	0
Nebrioporus amicorum	0.365858182249554
Nebula schneideraria eteocretica	0
Nemesia caranhaci	0
Nemesia daedali	2.23368065362793
Ocalea cretica	2.06203905610777
Odocnemis cretensis	24.2286182346608
Orchamus raulinii	12.7938077855651
Orthonotus creticus	2.40431203357667
Orthotylus mariagratiae	1.2466135422027
Ovaliptila lindbergi	16.1993187695911
Oxyethira mithi	0.42216612231789
Oxyopomyrmex laevibus	0
Oxypoda bimontium	0.745179125663741
Oxypoda cretica	0
Oxypoda idana	0.960664969009829
Oxypoda retunsa	3.97250545494111
Palliduphantes malickyi	2.39039933700631
Palmar cretica	3.87636726040272
Pareulype lasithiotica	0
Pedostrangalia ariadne	4.43668814767298
Pellenes florii	0
Periclista cretica	0
Perotis margotana	14.0394507904494
Philodromus johani	0.920846905680817
Phlegra theseusi	2.71551464277897
Pholcus creticus	0.673085128365916
Pholcus spiliensis	0.567656825873204
Phymatiotris quadricollis cretica	16.6607056026888
Phytocoris eduardi	0
Phytocoris malickyi	1.8638994680663
Phytocoris parvuloides	0
Phytoecia coerulescens cretensis	5.95728908787538
Pimelia phymatodes	2.5649291324265
Pimelia sericella	1.85018142814114
