LABEL1	total_area	natura2000	wildlife	hotspots	threatspots	wege_kba
Agricultural areas	3618.19725007442	301.929486936538	57.4183665871642	275.124740012513	240.074265063016	301.112948808773
Artificial surfaces	181.131253995262	5.01703920616158	3.6309008470327	4.94853268401855	3.01468448564897	4.56007383645888
Forest and semi natural areas	4508.42389200317	2040.25942402334	545.577962325514	1092.08903208499	945.177229841237	1058.80267120622
Water bodies	6.74036010872662	2.50229681055645	1.79508579976506	0.991419467966408	0.314609642470299	0.314609642470299
