sci_name	gbifid.ids	gbifid.class	gbifid.match	gbifid.multiple_matches	gbifid.pattern_match	gbifid.uri
Archaeogomphus globulus	5051856	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5051856
Archaeogomphus nanus	5051857	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5051857
Archaeogomphus vanbrinkae	5051855	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/5051855
Brasiliogomphus uniseries	1426077	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426077
Cyanogomphus angelomachadoi	7422164	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/7422164
Cyanogomphus comparabilis	1426606	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426606
Desmogomphus tigrivensis	1426406	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426406
Diaphlebia nexans	1425936	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425936
Epigomphus bosquenuboso	10571324	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10571324
Epigomphus jannyae	1425448	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425448
Epigomphus morrisoni	10112592	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10112592
Epigomphus subobtusus	1425453	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425453
Epigomphus tumefactus	1425454	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425454
Epigomphus wagneri	10175104	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10175104
Erpetogomphus elaphe	1426634	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/1426634
Erpetogomphus ophibolus	1426619	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426619
Erpetogomphus oxybelis	9707400	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9707400
Erpetogomphus schausi	1426617	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426617
Neogomphus molestus	1425567	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/1425567
Phyllocycla propinqua	1426129	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426129
Progomphus aberrans	1425820	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425820
Progomphus basistictus	1425815	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425815
Progomphus clendoni	1425830	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425830
Progomphus guyanensis	1425826	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425826
Progomphus integer	1425832	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425832
Progomphus lepidus	1425862	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425862
Progomphus longistigma	1425847	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425847
Progomphus microcephalus	1425869	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425869
Progomphus perithemoides	1425805	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425805
Progomphus polygonus	1425833	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425833
Progomphus racenisi	1425863	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425863
Progomphus recticarinatus	1425848	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425848
